mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5572474479675293,0.046373780194473066,0.0038280487060546875,0.00047750833482183657,relu,10.0,"(18,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (18,)}",0.5210832091121048,0.4882118181713323,0.500094197800001,0.521304082032827,0.463459160846679,0.49890741284900847,0.021722598968410983,26,0.4996362552176506,0.5226158878469002,0.4932562338024191,0.5340887560639546,0.5534695888196887,0.5206133443501226,0.022152108107124254
0.43327040672302247,0.16018734935700998,0.002869415283203125,0.0009486705449706522,relu,10.0,"(9,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (9,)}",0.5436417841990598,0.5269232691634851,0.5119592757919345,0.5962605395803777,0.47863041114129634,0.5315805448237764,0.038789234542423785,13,0.518625292417779,0.5212795468684995,0.49206783231997075,0.5120450078053734,0.5366327287664974,0.516130081635624,0.01448296432870246
0.32919931411743164,0.05795765291337508,0.004404449462890625,0.0010145454637199023,relu,10.0,"(36,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (36,)}",0.4079883805374002,0.36101979691723285,0.4012345679012347,0.39733785482773337,0.42324438986267715,0.3981316353945503,0.02055377273763601,65,0.408178523920921,0.41729472249894084,0.409176370902179,0.41437425333684486,0.4150692290933034,0.4128186199504379,0.003530359756859048
0.9416422367095947,0.3154732619801545,0.004923772811889648,0.0013222741375580735,relu,10.0,"(18, 18)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (18, 18)}",0.4761801016702978,0.43655489809335957,0.41358024691358036,0.39590181897874205,0.4072047932715566,0.425956873759794,0.028473445646146896,61,0.3981078849594055,0.4833751273859824,0.4422268787285447,0.40221909243928416,0.4529833871291282,0.43578247412846893,0.03208843300090313
0.381602144241333,0.10752582468421196,0.0037926673889160157,0.000800917621833748,relu,10.0,"(9, 9)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (9, 9)}",0.3375453885257807,0.31780992037402295,0.32741617357001984,0.3119408207127506,0.3878137934741709,0.33642120197891623,0.02702005059524429,104,0.3334755286454749,0.3322357718922591,0.32272107908808817,0.3210502330161566,0.2888054358227206,0.3196576096929399,0.016200777299036167
0.43457489013671874,0.08597390554195755,0.007714748382568359,0.002955462710132907,relu,10.0,"(36, 36)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (36, 36)}",0.3313725490196079,0.3580246913580247,0.3553333256437171,0.3355613996639638,0.3459119496855345,0.3452282019597963,0.01051668985885448,82,0.33749139947708817,0.3529358509001943,0.35461967412089357,0.358079381982374,0.34136419129227963,0.3488980995545659,0.00800260431145293
0.36241326332092283,0.010382097314093749,0.010405349731445312,0.0015773664895600377,relu,10.0,"(18, 18, 18)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (18, 18, 18)}",0.3333333333333333,0.3333333333333333,0.3333333333333334,0.33333333333333337,0.3333333333333332,0.3333333333333333,7.436985772292056e-17,105,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.33333333333333337,4.2998752849492583e-17
0.11719412803649902,0.0142177534298171,0.0034840583801269533,0.0008055232201050681,relu,10.0,"(9, 9, 9)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (9, 9, 9)}",0.3333333333333333,0.3333333333333333,0.3333333333333334,0.33333333333333337,0.3333333333333332,0.3333333333333333,7.436985772292056e-17,105,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.33333333333333337,4.2998752849492583e-17
0.6737995624542237,0.07251366017240916,0.011215925216674805,0.0025208940125714782,relu,10.0,"(36, 36, 36)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (36, 36, 36)}",0.341757443718228,0.33950617283950624,0.3526188910804296,0.36076411717437357,0.38439209556771226,0.35574883671183066,0.01618690984025946,77,0.33911288473005824,0.3412318367627358,0.3615540517330219,0.35633723792838906,0.35202053358134106,0.35005130894710923,0.008638704235934113
0.7015999317169189,0.12115904003028716,0.004115581512451172,0.0006327800310027529,relu,3.1622776601683795,"(18,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (18,)}",0.6302564690593587,0.5255276038002084,0.5855623608660047,0.5882306577313325,0.5150699432266921,0.5690692299222798,0.04288083097553739,12,0.5934778221182515,0.5876475864411695,0.5572844171160959,0.638628086366742,0.5890704317004559,0.593221668748543,0.02608293539063312
0.5560324668884278,0.22583710177422836,0.004369401931762695,0.0010369853402582797,relu,3.1622776601683795,"(9,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (9,)}",0.5416809998853342,0.4776616645712462,0.5013706741102154,0.5863986066415217,0.4433672815385442,0.5102323567490065,0.04975540003817639,25,0.5217194929896183,0.5062207107660717,0.530815003110699,0.5062230008511484,0.4996002506951223,0.5129156916825319,0.0115308986274497
