mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.11619906425476074,0.007169620216528229,0.011017560958862305,0.002304653322062839,1,{'SVM__n_iter': 1},0.4044834307992202,0.7594726461123221,0.7604703738306978,0.8637611451376634,0.7298781420697241,0.7033222793469559,0.15661022881877604,24,0.40682170542635654,0.692532414245856,0.829064233069592,0.8672281955274639,0.8296378117732648,0.7250568720085067,0.16988163582354993
0.1412022590637207,0.004843143751654061,0.009578657150268555,0.0018245695326683609,4,{'SVM__n_iter': 4},0.6509803921568628,0.7118258609486678,0.6923096147117741,0.6893856381035868,0.6469882855949618,0.6783271574588945,0.025169521360046843,25,0.6528599605522682,0.7514944713529441,0.7634841354356315,0.674132954705934,0.7739016971829433,0.7231746438459442,0.04969777387951175
0.1632021427154541,0.008793707129633085,0.010336351394653321,0.0024249967921837665,7,{'SVM__n_iter': 7},0.8693842449260406,0.7407176718917609,0.6796428942177931,0.8103394581127374,0.7954196800350647,0.7791484702954821,0.0645090156604173,23,0.8997224897940462,0.7564068565147196,0.7191859510914164,0.7852344474597232,0.8874574936438422,0.8096014477007495,0.07180772016598504
0.1972874164581299,0.011779585560646592,0.010202169418334961,0.0007449629226979174,10,{'SVM__n_iter': 10},0.8165118679050567,0.858514904398845,0.7945795894513843,0.8900730898031843,0.7252903791365329,0.8171452689312018,0.056427430648784284,21,0.8123549378468878,0.8676098763735739,0.8553948679193433,0.8414732880659851,0.8052864566087246,0.8364238853629029,0.02411146775326019
0.22286581993103027,0.007892721811368672,0.009354305267333985,0.0008308335221598918,13,{'SVM__n_iter': 13},0.9579520697167756,0.8543355979253415,0.9131188699339847,0.8785425101214573,0.8134626755816886,0.8836597715071391,0.049382324260151086,11,0.9501880647676713,0.8756964721239393,0.9310554620437483,0.9121669930037901,0.9193375007078394,0.9176888985293976,0.02462289191610298
0.26054091453552247,0.015744344363516134,0.010401010513305664,0.0013598553235518458,16,{'SVM__n_iter': 16},0.8126934984520123,0.8234752452026406,0.9037682964808471,0.880305354664329,0.8256691435211029,0.8491910235608564,0.03605477306103543,18,0.8108427747962633,0.8154734941736419,0.9165963228867285,0.896751514318757,0.932723343727775,0.8744774899806332,0.051368387598030876
0.28061928749084475,0.009545440329179365,0.010019540786743164,0.0006352167191591704,19,{'SVM__n_iter': 19},0.9567901234567902,0.8353095647292679,0.6756981210422507,0.892349216235856,0.8287352329442313,0.8378898479672459,0.09337395028833441,20,0.9720265125452962,0.8633251271951419,0.7177088462169703,0.8958138008160338,0.9596592725042542,0.8817067118555393,0.0912868672437627
0.31763486862182616,0.01605162937029242,0.009525203704833984,0.004286178771940881,22,{'SVM__n_iter': 22},0.9274700913503803,0.8906075181378825,0.9340961432729314,0.8508810377906194,0.7072101687486303,0.8623632505414066,0.08274470300223305,16,0.9569966209501093,0.9478298772132718,0.968813621426036,0.8958925797426708,0.7950193060198503,0.9129104010703877,0.0639938296689075
0.3388843536376953,0.012313282423478891,0.010204410552978516,0.0009809262713183172,25,{'SVM__n_iter': 25},0.908370599701869,0.866660130492789,0.9412436416485,0.9042296734604426,0.7091825553364015,0.8662317310536887,0.08166026727726138,15,0.9116324939222973,0.9249554387612166,0.9588610643552076,0.9358890682788866,0.8221630276522863,0.9107002185939788,0.046897462259776215
0.37131390571594236,0.010098156275401239,0.009980487823486327,0.002097276052162025,28,{'SVM__n_iter': 28},0.7229102167182663,0.8745708232887719,0.7758053911900067,0.9054850033257589,0.6610782380013148,0.7881260334917719,0.09133512056822982,22,0.7136686390532545,0.889011026759644,0.8310810346604377,0.9303037034492498,0.7109668558397471,0.8150062519524667,0.08957914420961224
0.40815157890319825,0.005983647656761299,0.010049104690551758,0.0009510029572053547,31,{'SVM__n_iter': 31},0.9290486564996369,0.8877565928847979,0.9047410329461612,0.9499232960771422,0.8262108262108261,0.8996817906714396,0.042234425968385045,7,0.9265813494793818,0.8970652559742593,0.9197141973824328,0.9673365165515899,0.9169776361139185,0.9255349911003166,0.023091549007929885
0.43257746696472166,0.006007657465497454,0.010208988189697265,0.0007446929204747314,34,{'SVM__n_iter': 34},0.9798111837327523,0.8997735407991818,0.9531010300241071,0.896524677901196,0.8348674117904887,0.9129999294194389,0.0502022132873576,5,0.9715334158983533,0.8997377852587223,0.9597706861476571,0.9351279966717431,0.9079128527319722,0.9348165473416895,0.02801878945909822
0.45633444786071775,0.013438106962155331,0.009394073486328125,0.0018552953455642936,37,{'SVM__n_iter': 37},0.8457172342621259,0.8839233191459912,0.8520613938967516,0.7734869718675387,0.8914815228313052,0.8492613739896593,0.04180596772693041,17,0.8124326101249179,0.9428254306314147,0.940010305382845,0.8119350073855244,0.9311801338512318,0.8876766974751866,0.061759557253444265
0.4880044460296631,0.010680208643453789,0.010969161987304688,0.0010952890775437459,40,{'SVM__n_iter': 40},0.9197301532698848,0.8446812846273034,0.9170386518564658,0.8960863697705802,0.8276208551970526,0.8811518268034965,0.037903196696963674,13,0.8986500619237651,0.8972553330356222,0.9663180393818298,0.9180885423226807,0.8417902146361034,0.9044204382600002,0.040063227479629995
