param_MLP__max_iter,train acc,test acc
1,0.3010200345089217,0.2926341774167862
2,0.3209432243284968,0.30536311514572395
4,0.36062409003957685,0.3459667144449754
8,0.4443829259933033,0.3998447204968945
16,0.5812028907813136,0.5118171683389076
32,0.7589721731539338,0.7370480968307056
64,0.8865072459947094,0.853925784360567
128,0.9705004379527831,0.944847905717471
256,0.9912175087370847,0.9633460742156394
512,0.9878940476504346,0.9651775760471413
1024,0.9878940476504346,0.9651775760471413
2048,0.9878940476504346,0.9651775760471413
2100,0.9878940476504346,0.9651775760471413
2200,0.9878940476504346,0.9651775760471413
2300,0.9878940476504346,0.9651775760471413
2400,0.9878940476504346,0.9651775760471413
2500,0.9878940476504346,0.9651775760471413
2600,0.9878940476504346,0.9651775760471413
2700,0.9878940476504346,0.9651775760471413
2800,0.9878940476504346,0.9651775760471413
2900,0.9878940476504346,0.9651775760471413
3000,0.9878940476504346,0.9651775760471413
