mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__alpha,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.04160146713256836,0.002798032760620117,0.7290485324268242,0.9390996155184599,-1,1,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 1}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.010171166500322187,0.002136704376353201,0.010412017292379776,0.0027251927918070214
0.07859907150268555,0.0038003444671630858,0.7290485324268242,0.9390996155184599,-1,2,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 2}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.01815217993763292,0.002787198135576035,0.010412017292379776,0.0027251927918070214
0.18079872131347657,0.0013998985290527345,0.7290485324268242,0.9390996155184599,-1,5,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 5}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.03691838231567502,0.0004903499591877157,0.010412017292379776,0.0027251927918070214
0.17719974517822265,0.0021999359130859377,0.7290485324268242,0.9390996155184599,-1,10,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 10}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.024878811629410028,0.0007485074099680204,0.010412017292379776,0.0027251927918070214
0.20000047683715821,0.0020005226135253905,0.7290485324268242,0.9390996155184599,-1,20,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 20}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.037346820727490716,0.000633100151709954,0.010412017292379776,0.0027251927918070214
0.1713996410369873,0.011999940872192383,0.7290485324268242,0.9390996155184599,-1,30,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 30}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.03619684918520455,0.00953017437563864,0.010412017292379776,0.0027251927918070214
0.19759960174560548,0.0067997932434082035,0.7290485324268242,0.9390996155184599,-1,45,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 45}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.047221884967696526,0.008610814328885247,0.010412017292379776,0.0027251927918070214
0.17099981307983397,0.0028009891510009767,0.7290485324268242,0.9390996155184599,-1,60,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 60}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.02753190691289486,0.0007493634439609136,0.010412017292379776,0.0027251927918070214
0.2060009002685547,0.0020003318786621094,0.7290485324268242,0.9390996155184599,-1,80,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 80}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.049890920122189895,0.0006326361588890707,0.010412017292379776,0.0027251927918070214
0.2010009765625,0.0013988494873046875,0.7290485324268242,0.9390996155184599,-1,100,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 100}",121,0.7132955922094865,0.9349616807727126,0.7265937302756155,0.9379702095430447,0.7260124555786214,0.9414089975214044,0.7346269777042799,0.9427031315117969,0.7447720582198608,0.9384540582433409,0.05341199122085389,0.0004913105120973411,0.010412017292379776,0.0027251927918070214
0.19339990615844727,0.001200246810913086,0.7636353894831976,0.8875486937461815,-0.001,1,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 1}",85,0.771246854906346,0.8728313602446807,0.7609053930850691,0.8990900409426693,0.7602828894127581,0.8871690636172872,0.772380751322379,0.8945013928391251,0.7533396666783949,0.8841516110871456,0.019304285329408793,0.0004017117575470551,0.007197983325686752,0.009053473530180354
0.49220123291015627,0.0017995357513427735,0.7636353894831976,0.8875486937461815,-0.001,2,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 2}",85,0.771246854906346,0.8728313602446807,0.7609053930850691,0.8990900409426693,0.7602828894127581,0.8871690636172872,0.772380751322379,0.8945013928391251,0.7533396666783949,0.8841516110871456,0.09799507267503021,0.0007475526764618446,0.007197983325686752,0.009053473530180354
