mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.027400636672973634,0.0009992122650146484,0.5657379643147438,0.9140867647082642,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",25,0.5676892444169114,0.9216841413957613,0.5830206841584401,0.9209438515805044,0.5857629404043436,0.9125717377936334,0.5346241250548432,0.9035810985613582,0.5575565513747149,0.9116529942100635,0.012059664788075082,1.066240299940009e-06,0.018639987850104966,0.006683222867530129
0.06320013999938964,0.0018003463745117187,0.5690595940695017,0.9165594102735302,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",23,0.5700817182073853,0.9233706857893516,0.5680228501863369,0.9181620855720709,0.5420667337690005,0.912575590083234,0.6159208210572739,0.9107096441795288,0.5492041219487568,0.9179790457434653,0.018551460075441915,0.001166514764655041,0.025758670121064944,0.004495953598417537
0.4210008144378662,0.0010000705718994141,0.6012247143835202,0.823182467371596,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",15,0.5907365895677782,0.8415934928107631,0.6376636094472607,0.8297364445029622,0.6124067777884936,0.8109661449288013,0.5883547114486452,0.7850405276934799,0.5769354065328333,0.8485757269219733,0.03565928044204214,1.9073486328124998e-07,0.021534660099762654,0.022938108906308454
0.41759862899780276,0.0007998466491699219,0.6061405792940611,0.8092402040438442,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",11,0.5968545431682701,0.8584150655018995,0.6208042305014123,0.790023217360675,0.5780248006965603,0.8146653028462035,0.6417087640990742,0.7965492449892961,0.5933172505067765,0.7865481895211465,0.08124326921303358,0.00039992362307001474,0.022447087955072106,0.026430585458661088
0.378000545501709,0.0011995315551757812,0.6012247143835202,0.823182467371596,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",15,0.5907365895677782,0.8415934928107631,0.6376636094472607,0.8297364445029622,0.6124067777884936,0.8109661449288013,0.5883547114486452,0.7850405276934799,0.5769354065328333,0.8485757269219733,0.03272323702854795,0.00039861217569849873,0.021534660099762654,0.022938108906308454
0.40739974975585935,0.0009994983673095703,0.6061405792940611,0.8092402040438442,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",11,0.5968545431682701,0.8584150655018995,0.6208042305014123,0.790023217360675,0.5780248006965603,0.8146653028462035,0.6417087640990742,0.7965492449892961,0.5933172505067765,0.7865481895211465,0.03755331070204703,1.228723404572022e-06,0.022447087955072106,0.026430585458661088
0.37479963302612307,0.0014003753662109376,0.5998057539868432,0.8363882117529136,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",18,0.5940206618173677,0.8633041881521863,0.6090099101126583,0.8662217133793414,0.6058460531195115,0.8076193679082033,0.611638496817167,0.7720606670913911,0.5785176994856845,0.8727351222334451,0.03313274034895253,0.0004902524108764132,0.012225840727127872,0.039752446175402946
0.41119966506958006,0.0012022972106933594,0.6017619069548271,0.8227003966816107,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",14,0.6028812127890066,0.8734673511960129,0.5948552838803145,0.8389364548144004,0.5726911160041782,0.8037707529944891,0.6460484105757262,0.792260475331096,0.5923415046951259,0.8050669490720549,0.03644408864251291,0.00040200235620075573,0.024253526669079938,0.029788427118277207
0.3882001876831055,0.00879964828491211,0.5977714304025853,0.8187693027582561,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",19,0.5902362529777085,0.8495378228523115,0.6288143661152588,0.8242661711339296,0.6032779173101835,0.786034004003844,0.591038397295622,0.7952900706410962,0.5754628680044571,0.8387184451600993,0.04574843982671371,0.015600156784421995,0.017854841113360425,0.02448575013610517
0.436800479888916,0.004799699783325196,0.6052425757741794,0.8078086913468907,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",13,0.6024310218903196,0.8569425524110446,0.6174201357467591,0.7904840404457324,0.5791642273021376,0.8020792849406262,0.6374047515877943,0.7956256469288202,0.5897815189668232,0.7939119320082303,0.024011406586837297,0.007626262875306235,0.020532137234400526,0.02485418444083832
0.446401309967041,0.002199888229370117,0.5657379643147438,0.9140867647082642,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",25,0.5676892444169114,0.9216841413957613,0.5830206841584401,0.9209438515805044,0.5857629404043436,0.9125717377936334,0.5346241250548432,0.9035810985613582,0.5575565513747149,0.9116529942100635,0.02331338805779344,0.002925060073390731,0.018639987850104966,0.006683222867530129
