mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.6851994037628174,0.012202215194702149,0.5142857142857142,0.5186813186813186,100,{'SVM__n_iter': 100},18,0.510989010989011,0.5178571428571429,0.4835164835164835,0.510989010989011,0.5274725274725275,0.507554945054945,0.5357142857142857,0.5226648351648352,0.5137362637362637,0.5343406593406593,0.013643945821862229,0.0007450962651947548,0.01783811327554717,0.009431123018555984
0.6971999645233155,0.011600780487060546,0.5747252747252747,0.5866758241758242,200,{'SVM__n_iter': 200},1,0.5054945054945055,0.5508241758241759,0.5824175824175825,0.5796703296703297,0.5824175824175825,0.5803571428571429,0.6043956043956044,0.6201923076923077,0.5989010989010989,0.6023351648351648,0.005600336707386571,0.0008015287177398898,0.03571005892147675,0.023421840207805203
0.7216009616851806,0.012198781967163086,0.5401098901098901,0.5467032967032968,300,{'SVM__n_iter': 300},10,0.5247252747252747,0.5590659340659341,0.5192307692307693,0.5542582417582418,0.5741758241758241,0.5542582417582418,0.5357142857142857,0.5164835164835165,0.5467032967032966,0.5494505494505495,0.007605072793201161,0.00040121316512380876,0.019472577084252003,0.015412797969970674
0.7731988430023193,0.012801933288574218,0.5071428571428571,0.4968406593406593,400,{'SVM__n_iter': 400},20,0.521978021978022,0.49793956043956045,0.48626373626373626,0.510989010989011,0.5164835164835165,0.4793956043956044,0.4697802197802198,0.4993131868131868,0.5412087912087912,0.4965659340659341,0.016117627819302843,0.001938145284898528,0.025689384016617495,0.01011832245093564
0.7981984138488769,0.01140146255493164,0.548901098901099,0.5710164835164835,500,{'SVM__n_iter': 500},6,0.5302197802197802,0.5645604395604396,0.554945054945055,0.5604395604395604,0.5027472527472527,0.5597527472527473,0.5604395604395604,0.5831043956043956,0.5961538461538461,0.5872252747252747,0.030300592365145144,0.0004901404579806951,0.03124630155629216,0.011741091014482485
0.8535984039306641,0.011602258682250977,0.5593406593406594,0.5704670329670329,600,{'SVM__n_iter': 600},4,0.5879120879120879,0.5508241758241759,0.5714285714285714,0.5556318681318682,0.5741758241758241,0.5782967032967034,0.5027472527472527,0.6009615384615384,0.5604395604395604,0.5666208791208791,0.10525953670834123,0.000492210190101932,0.02961941092734847,0.017955141072435114
0.7957968235015869,0.010600423812866211,0.5186813186813187,0.515934065934066,700,{'SVM__n_iter': 700},17,0.4258241758241758,0.4567307692307692,0.554945054945055,0.5157967032967034,0.5137362637362637,0.5206043956043956,0.5494505494505495,0.5528846153846154,0.5494505494505495,0.5336538461538461,0.005194750973838486,0.0007998839731583097,0.04869384404638359,0.03226823485720006
0.8898006439208984,0.011600255966186523,0.5395604395604395,0.5618131868131868,800,{'SVM__n_iter': 800},11,0.6016483516483516,0.5638736263736264,0.5357142857142857,0.5618131868131868,0.5,0.5364010989010989,0.5192307692307693,0.5968406593406593,0.5412087912087912,0.5501373626373627,0.058913086687140764,0.0004903696288087375,0.034207433881919505,0.020066231958599058
0.8559963226318359,0.013001108169555664,0.5236263736263737,0.5357142857142857,900,{'SVM__n_iter': 900},15,0.48626373626373626,0.5357142857142857,0.554945054945055,0.5597527472527473,0.5659340659340659,0.5377747252747253,0.5604395604395604,0.5453296703296703,0.45054945054945056,0.5,0.0051013736866871206,0.0010964113345366898,0.04660947266032636,0.019748715754203998
0.917399549484253,0.013000726699829102,0.5428571428571428,0.5420329670329671,1000,{'SVM__n_iter': 1000},8,0.6016483516483516,0.5817307692307693,0.5412087912087912,0.5741758241758241,0.554945054945055,0.554945054945055,0.46703296703296704,0.47870879120879123,0.5494505494505495,0.5206043956043956,0.03695926863868384,0.002528112421801615,0.043354398999074416,0.03806556369258692
0.9711981296539307,0.012599515914916991,0.5065934065934066,0.5125,1100,{'SVM__n_iter': 1100},21,0.5082417582417582,0.5185439560439561,0.5027472527472527,0.5212912087912088,0.5054945054945055,0.49313186813186816,0.5164835164835165,0.5267857142857143,0.5,0.5027472527472527,0.02860246799150209,0.0004890465327190374,0.005656939637904964,0.012554975112378963
0.9600014686584473,0.012804603576660157,0.5236263736263737,0.5350274725274725,1200,{'SVM__n_iter': 1200},15,0.5769230769230769,0.5892857142857143,0.5576923076923077,0.5590659340659341,0.521978021978022,0.521978021978022,0.5027472527472527,0.5226648351648352,0.45879120879120877,0.48214285714285715,0.06786265061317051,0.0007471256117791048,0.041577108598665084,0.03644642626764176
0.9321994304656982,0.011201238632202149,0.506043956043956,0.5178571428571429,1300,{'SVM__n_iter': 1300},22,0.5412087912087912,0.5439560439560439,0.5741758241758241,0.5576923076923077,0.4697802197802198,0.48145604395604397,0.4807692307692308,0.5185439560439561,0.4642857142857143,0.4876373626373626,0.014132471638018467,0.0007458836840891678,0.04376331374008762,0.03002245768123575
0.9490004062652588,0.012000656127929688,0.5423076923076923,0.5527472527472528,1400,{'SVM__n_iter': 1400},9,0.5714285714285714,0.5679945054945055,0.48626373626373626,0.5240384615384616,0.5357142857142857,0.570054945054945,0.5439560439560439,0.5281593406593407,0.5741758241758241,0.573489010989011,0.007536758899968671,0.0010951501541349648,0.03178275794281223,0.02186785576058503
