param_MLP__max_iter,test acc,train acc
1,0.48532457779371324,0.4866254668246752
2,0.5585029986707792,0.5645057286490694
4,0.5836048788312518,0.5875956340298218
8,0.607263890666992,0.6134385733963015
16,0.6385333345957295,0.6578517352567774
32,0.6463936479160153,0.6627875369376561
64,0.6459063539089703,0.6628525471257779
128,0.6459063539089703,0.6628525471257779
256,0.6459063539089703,0.6628525471257779
512,0.6459063539089703,0.6628525471257779
1024,0.6459063539089703,0.6628525471257779
2048,0.6459063539089703,0.6628525471257779
2100,0.6459063539089703,0.6628525471257779
2200,0.6459063539089703,0.6628525471257779
2300,0.6459063539089703,0.6628525471257779
2400,0.6459063539089703,0.6628525471257779
2500,0.6459063539089703,0.6628525471257779
2600,0.6459063539089703,0.6628525471257779
2700,0.6459063539089703,0.6628525471257779
2800,0.6459063539089703,0.6628525471257779
2900,0.6459063539089703,0.6628525471257779
3000,0.6459063539089703,0.6628525471257779
