param_Boost__n_estimators,test acc,train acc
1,0.7846153846153846,0.9598901098901099
2,0.7846153846153846,0.9598901098901099
5,0.7846153846153846,0.9598901098901099
10,0.7846153846153846,0.9598901098901099
20,0.7846153846153846,0.9598901098901099
30,0.7846153846153846,0.9598901098901099
40,0.7846153846153846,0.9598901098901099
50,0.7846153846153846,0.9598901098901099
60,0.7846153846153846,0.9598901098901099
70,0.7846153846153846,0.9598901098901099
80,0.7846153846153846,0.9598901098901099
90,0.7846153846153846,0.9598901098901099
100,0.7846153846153846,0.9598901098901099
