mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.010802412033081054,0.0011959075927734375,0.5044293971120771,0.504428120594748,1,{'MLP__max_iter': 1},22,0.5051020408163265,0.5046855362494616,0.5017006802721089,0.5034071325861936,0.5017064846416383,0.5029779704761974,0.5085324232081913,0.5051074423671684,0.5051077255081337,0.5059625212947189,0.0018255125154461708,0.00040188524804274514,0.002552973487187427,0.0010979506617140138
0.019402074813842773,0.0009991645812988282,0.5227528457519943,0.5248948868332602,2,{'MLP__max_iter': 2},21,0.5254985555866181,0.5246767913799315,0.5254050073637702,0.5246643908543077,0.5238438713158111,0.5254615378991161,0.5186540468902103,0.5250191926651118,0.5203488031150675,0.5246525213678338,0.0030768272936578917,5.563690517528955e-06,0.0027691610488751258,0.0003149540957584762
0.035801362991333005,0.0009988307952880859,0.7272652728084166,0.7264968361221122,4,{'MLP__max_iter': 4},20,0.7411471437890224,0.7220845308091861,0.739357598709587,0.7297897251828517,0.7145479281751754,0.7231865673278692,0.7265988764176724,0.7269998757046449,0.7146065702590807,0.7304234815860087,0.004791041310096262,2.5258870388315255e-06,0.011502860595892558,0.0033746415943529673
0.07160000801086426,0.0014027595520019532,0.7560791472430985,0.7571812693494101,8,{'MLP__max_iter': 8},19,0.780111359612338,0.7517676501349083,0.7647100077144261,0.7560830415390639,0.741675756189672,0.7604908935373728,0.74694767953274,0.7587577044841376,0.7468538521984917,0.7588070570515678,0.00911214921872594,0.0004940642453671356,0.01434597265673757,0.0030527142996054748
0.13239893913269044,0.0010005950927734375,0.7660483415106841,0.7698057749524513,16,{'MLP__max_iter': 16},18,0.7883701425775789,0.7621175767483147,0.7591696472403395,0.7699153705146922,0.7568230064623576,0.7760482850896754,0.7621183866389877,0.7709013606685626,0.7636958586960346,0.7700462817410122,0.009892218825193897,4.51713555633165e-06,0.011426123577183705,0.004457521445902161
0.24659886360168456,0.0011995315551757812,0.7893188616010763,0.7960011002212921,32,{'MLP__max_iter': 32},17,0.8174797316186747,0.7925367592128739,0.7847324496809034,0.7930240131133626,0.773946494962645,0.8029980770777432,0.7911989960475236,0.7914528664702312,0.7791480478050268,0.7999937852322494,0.009645062584334833,0.00039778473101530833,0.015224460634849096,0.0046141164972621366
0.46379828453063965,0.0011995315551757812,0.8022877078725394,0.8039048145617166,64,{'MLP__max_iter': 64},1,0.8226400149100735,0.7993832450057567,0.79158776912827,0.800267462835106,0.7910347982125892,0.8110505882094888,0.8116533549136203,0.8028895014293965,0.7944712243294276,0.8059332753288342,0.02686970047826485,0.00039827314899943875,0.01268805289529411,0.004239870604111716
0.5796005725860596,0.0010034561157226563,0.799207503663163,0.8051955018998258,128,{'MLP__max_iter': 128},2,0.8260064299692479,0.8023472723916999,0.79158776912827,0.800267462835106,0.7808076187795409,0.811099940776919,0.8116533549136203,0.8028895014293965,0.7859036158708936,0.809373332066008,0.15075240518736358,3.362969910145846e-06,0.017016243609572674,0.004243401509986448
0.5855977058410644,0.001202535629272461,0.799207503663163,0.8051955018998258,256,{'MLP__max_iter': 256},2,0.8260064299692479,0.8023472723916999,0.79158776912827,0.800267462835106,0.7808076187795409,0.811099940776919,0.8116533549136203,0.8028895014293965,0.7859036158708936,0.809373332066008,0.15137015592275793,0.0003997734711701686,0.017016243609572674,0.004243401509986448
0.5861946105957031,0.00100250244140625,0.799207503663163,0.8051955018998258,512,{'MLP__max_iter': 512},2,0.8260064299692479,0.8023472723916999,0.79158776912827,0.800267462835106,0.7808076187795409,0.811099940776919,0.8116533549136203,0.8028895014293965,0.7859036158708936,0.809373332066008,0.1464991152204871,3.3629699101458465e-06,0.017016243609572674,0.004243401509986448
0.5823965549468995,0.0010016918182373046,0.799207503663163,0.8051955018998258,1024,{'MLP__max_iter': 1024},2,0.8260064299692479,0.8023472723916999,0.79158776912827,0.800267462835106,0.7808076187795409,0.811099940776919,0.8116533549136203,0.8028895014293965,0.7859036158708936,0.809373332066008,0.13769787427041016,2.1986278311535843e-06,0.017016243609572674,0.004243401509986448
0.5848008632659912,0.0012079715728759766,0.799207503663163,0.8051955018998258,2048,{'MLP__max_iter': 2048},2,0.8260064299692479,0.8023472723916999,0.79158776912827,0.800267462835106,0.7808076187795409,0.811099940776919,0.8116533549136203,0.8028895014293965,0.7859036158708936,0.809373332066008,0.15922859983970017,0.0004127831575928953,0.017016243609572674,0.004243401509986448
0.5805974483489991,0.0009991645812988282,0.799207503663163,0.8051955018998258,2100,{'MLP__max_iter': 2100},2,0.8260064299692479,0.8023472723916999,0.79158776912827,0.800267462835106,0.7808076187795409,0.811099940776919,0.8116533549136203,0.8028895014293965,0.7859036158708936,0.809373332066008,0.15026502434111752,2.960233344110252e-06,0.017016243609572674,0.004243401509986448
0.584396505355835,0.0012022018432617187,0.799207503663163,0.8051955018998258,2200,{'MLP__max_iter': 2200},2,0.8260064299692479,0.8023472723916999,0.79158776912827,0.800267462835106,0.7808076187795409,0.811099940776919,0.8116533549136203,0.8028895014293965,0.7859036158708936,0.809373332066008,0.14931795412356186,0.0004063990142190632,0.017016243609572674,0.004243401509986448
