param_SVM__n_iter,test acc,train acc
1,0.5989374925073824,0.5766748830034008
4,0.5825746493409217,0.5763869212085794
7,0.5745126179454075,0.5648170967694547
10,0.6104857905665811,0.601197462357944
13,0.6313324996945779,0.6208230336617311
16,0.5535269629263108,0.5712896817495186
19,0.626904124270629,0.6204630530703187
22,0.4107979179796615,0.4455382103570275
25,0.619494275926012,0.6266099659841261
28,0.5642683520934071,0.590936692721732
31,0.6311697878264501,0.6430902639002539
34,0.6103977796100815,0.6113994742301396
37,0.5943713832754576,0.5819490948819839
40,0.6131294353380411,0.6340272556289837
43,0.6281297461344497,0.6120442625981145
46,0.6125121968723042,0.6076369297851689
49,0.6275582786718149,0.6342491440996914
52,0.6221923409427912,0.6173193700532127
55,0.6317992294536017,0.6316023110438638
58,0.6069772032778203,0.6144581930365777
61,0.6138615518405437,0.6153939022130691
64,0.6047411843479178,0.6207108150354411
67,0.6229824316098107,0.6226481658759087
70,0.6004158359895105,0.6022082381801341
73,0.6305961248924963,0.637566059059891
