mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
35.91139760017395,0.36978692122073803,0.053601646423339845,0.010762405381775484,relu,10.0,"(3,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (3,)}",0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.020973732059386e-17,114,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5000000000000001,7.021666937153402e-17
510.77759914398194,98.21031566912862,0.3154000759124756,0.04531519641048848,relu,10.0,"(1,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1,)}",0.7195520841392166,0.7284617983683922,0.7478665473038368,0.7153666150752288,0.756689420964164,0.7335860653894775,0.016079300208636838,72,0.7243821353597556,0.7248761365169085,0.7539089113560657,0.7257198791411241,0.7523921166682258,0.7362558358084159,0.013809412279184079
405.58919949531554,49.15287180752036,0.30519957542419435,0.07997861768644168,relu,10.0,"(6,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (6,)}",0.7287474428829386,0.7315488906045979,0.7266589880789796,0.7224728092064395,0.7312089987933461,0.7281274036015257,0.003338085854949551,74,0.7307966397358668,0.7293242446531374,0.7359176559111615,0.7346427211768216,0.7287649459387586,0.7318892414831492,0.0028755515363880447
518.3710014820099,55.58027611121327,0.2441993236541748,0.009620572523797003,relu,10.0,"(3, 3)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (3, 3)}",0.7321893869181917,0.7352577958190379,0.7294571464810333,0.717188108700001,0.7327653980113922,0.7293718039267542,0.006364572432024878,73,0.7359726902609867,0.7312569210425063,0.7366614093643818,0.7284111112132935,0.7312585289994863,0.732712132176131,0.0031291344584629386
78.60560030937195,3.6811046111999657,0.3469988822937012,0.04777453684624378,relu,10.0,"(1, 1)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1, 1)}",0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.020973732059386e-17,114,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5000000000000001,7.021666937153402e-17
371.26839962005613,28.47006722394704,0.36340041160583497,0.013632342996541104,relu,10.0,"(6, 6)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (6, 6)}",0.7109691967060491,0.698787267333267,0.7074487037186152,0.7087947608368342,0.7149892507679906,0.7081972137351892,0.005353104114655477,96,0.7116693979827847,0.7055180548698885,0.7115555287047158,0.7163672490602186,0.7101376801410878,0.7110495821517391,0.003474106914742539
115.80920009613037,0.8070160550978541,0.3569983959197998,0.017064017093153083,relu,10.0,"(3, 3, 3)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (3, 3, 3)}",0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.020973732059386e-17,114,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5000000000000001,7.021666937153402e-17
96.10624961853027,0.09719652489063935,0.44560017585754397,0.045601221895571864,relu,10.0,"(1, 1, 1)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1, 1, 1)}",0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.020973732059386e-17,114,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5000000000000001,7.021666937153402e-17
405.5680872440338,32.76668361315236,0.45279750823974607,0.022103953478970904,relu,10.0,"(6, 6, 6)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (6, 6, 6)}",0.7224727368033813,0.7099046413089071,0.7107022355268622,0.7073496741316319,0.7189913637297728,0.7138839688394806,0.005805329752779214,83,0.7255648556203037,0.7104388496639582,0.7143740442409048,0.7208522410104018,0.7140686927970671,0.7170597366665271,0.005416928457180576
114.41299996376037,0.37218709870711636,0.12140398025512696,0.005078398174189845,relu,3.1622776601683795,"(3,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (3,)}",0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.020973732059386e-17,114,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5000000000000001,7.021666937153402e-17
458.7466794490814,33.12415560088041,0.24200315475463868,0.00961453875760517,relu,3.1622776601683795,"(1,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (1,)}",0.7668384217791903,0.7602874128527665,0.7491574078898409,0.7501666192867749,0.7676838039635159,0.7588263359085529,0.007915203435968693,48,0.7590014067405019,0.760778588469124,0.7601659138395381,0.7642512834621487,0.7604878239013174,0.760937003282526,0.0017636566208437962
