param_SVM__n_iter,test acc,train acc
100,0.5564102564102564,0.5439560439560439
200,0.5743589743589743,0.5774725274725274
300,0.5089743589743589,0.5104395604395604
400,0.5166666666666667,0.5478021978021979
500,0.5205128205128206,0.548901098901099
600,0.5525641025641026,0.5582417582417583
700,0.4653846153846154,0.48736263736263735
800,0.4551282051282051,0.4736263736263736
900,0.5012820512820513,0.545054945054945
1000,0.5192307692307693,0.5362637362637362
1100,0.5012820512820513,0.5148351648351648
1200,0.5294871794871795,0.5247252747252747
1300,0.48205128205128206,0.5076923076923077
1400,0.4423076923076923,0.4928571428571429
1500,0.5641025641025641,0.5917582417582418
1600,0.5397435897435897,0.5510989010989011
1700,0.5807692307692308,0.5582417582417583
1800,0.5358974358974359,0.5379120879120879
1900,0.5333333333333333,0.5010989010989011
2000,0.5384615384615384,0.5582417582417583
2100,0.5666666666666667,0.5681318681318681
2200,0.5794871794871795,0.5901098901098901
2300,0.5820512820512821,0.5439560439560439
2400,0.5756410256410256,0.5494505494505495
2500,0.5076923076923077,0.49725274725274726
