mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.007599258422851562,0.013800287246704101,0.7095553642795345,1.0,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",99,0.713283943714472,1.0,0.7043270916614068,1.0,0.7225643010450018,1.0,0.7191982454288497,1.0,0.6883994229618943,1.0,0.004409501825202565,0.0024000528617150636,0.012250323195797684,0.0
0.005800008773803711,0.015801382064819337,0.7095553642795345,1.0,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",99,0.713283943714472,1.0,0.7043270916614068,1.0,0.7225643010450018,1.0,0.7191982454288497,1.0,0.6883994229618943,1.0,0.0027136463036805595,0.0034867790793477638,0.012250323195797684,0.0
0.004200649261474609,0.021801185607910157,0.7393646091875207,0.8245570317665957,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",94,0.7249790327089739,0.821678267900616,0.7483869836594432,0.8205199975119736,0.7548350398179748,0.8205895255573185,0.753198925677023,0.8265882387348193,0.7154568804757045,0.8334091291282507,0.0007479605923151845,0.00861119303593766,0.016063453332755783,0.004956035955028898
0.008398962020874024,0.02000255584716797,0.7444819406687307,1.0,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",91,0.7457832448047712,1.0,0.7557507539098115,1.0,0.7430773019950035,1.0,0.7620362877215205,1.0,0.715738362478449,1.0,0.008799576770158527,0.004690737153387887,0.01589921777542841,0.0
0.004401350021362304,0.028600502014160156,0.7722135385336051,0.8248852635749181,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",83,0.7645256732830117,0.8241556147335671,0.7831019005540362,0.830251839493028,0.7602359757456341,0.8255836398066841,0.7877977551810282,0.8141075227935745,0.7654140717544538,0.8303277010477366,0.0013573875782444081,0.015628321144537348,0.011045369796037612,0.0059262142363062575
0.0048005104064941405,0.023798704147338867,0.7670846616702499,1.0,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",86,0.7577113036995619,1.0,0.7779998597377096,1.0,0.7568230064623576,1.0,0.7826431160057705,1.0,0.760259432579196,1.0,0.0022276426552257644,0.004308204890971562,0.010962114830186411,0.0
0.004601478576660156,0.025199222564697265,0.7734385833370062,0.8142072658718924,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",80,0.7848872425682601,0.8132981341348731,0.7675327863104004,0.815113296671533,0.7566588086274233,0.820328139737225,0.7842440448963796,0.808389936463139,0.7738409392116157,0.8139068223526916,0.0010224537887140873,0.005115261991098426,0.010624121078928716,0.003822148530830319
0.0050010204315185545,0.024399375915527342,0.7787342395126327,1.0,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",72,0.7781893579349547,1.0,0.7780524580966408,1.0,0.7688270410377303,1.0,0.7912224528810857,1.0,0.7773829210794834,1.0,0.0015502211159149166,0.005607228877955607,0.007161482961149021,0.0
0.004597854614257812,0.030001258850097655,0.7821448934297239,0.8112074507089234,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",37,0.7867044077905134,0.8134892908306308,0.7814888842134793,0.8191193850184223,0.7790424920539974,0.8123545927133677,0.7809483597809133,0.802994786906581,0.7825258318379602,0.8080791980756153,0.001355341738508198,0.009293881240600295,0.0025479326526918374,0.00541027254221678
0.004400444030761719,0.023600673675537108,0.7804401522832778,1.0,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",59,0.7833030472462957,1.0,0.7814888842134793,1.0,0.7722165534874447,1.0,0.7843613290641898,1.0,0.7808193471963218,1.0,0.0013574786226483717,0.0083085151252338,0.004298326253763436,0.0
0.004599666595458985,0.02760024070739746,0.7786172172951655,0.8020370400374481,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",73,0.779773553256919,0.7992645960221829,0.7813310891366857,0.8087721223962622,0.7652850591698626,0.7998588882146069,0.7842675017299415,0.8024537365377162,0.7824202760869309,0.7998358570164725,0.0013570356898398252,0.0059870209053936065,0.006820789186584176,0.0035443185022314633
0.006200456619262695,0.025600576400756837,0.7811150454549394,1.0,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",52,0.7935304258689776,1.0,0.7848727119713865,1.0,0.7687918557873872,1.0,0.7792066898889319,1.0,0.7791245909714647,1.0,0.0031238918971093444,0.00786500205425026,0.008098661573263197,0.0
