mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.10880079269409179,0.0014005184173583984,0.7392409392354369,0.7363062836295775,relu,10.0,"(10,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (10,)}",56,0.7713982853415339,0.7340603879382323,0.7289080580685884,0.70824268501952,0.7261766534135556,0.7466911845347334,0.7245991813565088,0.7479622873269917,0.7450300833890432,0.7445748733284102,0.027529383738804113,0.0004919852134033703,0.017672317770155776,0.014863968373314745
0.054399299621582034,0.0009998321533203126,0.5428778738885824,0.5443875448999248,relu,10.0,"(5,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5,)}",163,0.49486301369863,0.4982686037211837,0.5016831474857985,0.4978482230735175,0.72323282080152,0.727986561478676,0.49484536082474234,0.49956094493715764,0.5,0.49827339128908904,0.0328777610774176,7.478898592642843e-07,0.09016098500931867,0.0918013108050864
0.0571998119354248,0.0014005184173583984,0.7360166355109428,0.7378967815131535,relu,10.0,"(20,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (20,)}",93,0.7488933929736278,0.7344679691688418,0.7570131145241603,0.7354927938706739,0.7361458076774214,0.7420736120961314,0.7242825141034213,0.7420703219249694,0.713668296916599,0.7353792105051509,0.0071104050114314775,0.0004891627985415174,0.015772522504734,0.0034274896862279227
0.13340163230895996,0.0011995792388916015,0.7353684263646594,0.7348457730451675,relu,10.0,"(10, 10)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (10, 10)}",96,0.7614621190942129,0.7284190682099823,0.7290307875727612,0.7390707953269011,0.7280356074733472,0.7353894465932105,0.7213504099081666,0.736653969043145,0.7368846979346257,0.7346955860525988,0.06649101295692711,0.00039966810086891776,0.013964378909191945,0.0035423454982940077
0.14660162925720216,0.0015989303588867187,0.7457420437439174,0.7436753808522354,relu,10.0,"(5, 5)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5, 5)}",36,0.7643509458577951,0.7264218103198249,0.7440739182270848,0.7509884416539522,0.7435112534159012,0.7439204948417427,0.7487245346750643,0.7447196408595388,0.727988693806223,0.7523265165861183,0.025944115055961118,0.0004897666527090835,0.011650068438916174,0.00924293528835122
0.1230055809020996,0.0015954017639160157,0.7460204764586494,0.7447253943124102,relu,10.0,"(20, 20)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (20, 20)}",35,0.7665059174354671,0.7437346745062884,0.7478434672838208,0.7484923657837832,0.7384621699916727,0.7436689795351353,0.7369081547681879,0.7445076076068756,0.7403093956346832,0.7432233441299689,0.03949773435865283,0.000486457565068116,0.010923235456535384,0.0019282737244335543
0.21319851875305176,0.002398681640625,0.7591418448228636,0.7563073844112752,relu,10.0,"(10, 10, 10)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (10, 10, 10)}",1,0.7749627248159537,0.7526069818335223,0.7681113682586438,0.7547369460939815,0.7450769970561673,0.7621615693385294,0.7520905902912167,0.751127797559424,0.7553980038234638,0.7609036272309186,0.06237286130626293,0.0013573514110471502,0.010887562566479906,0.004435860794058999
0.07339997291564941,0.0037985324859619142,0.5003403687852152,0.5003407881188175,relu,10.0,"(5, 5, 5)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5, 5, 5)}",166,0.5,0.5004262574595055,0.5017006802721089,0.5,0.5,0.5004258943781943,0.5000000000000001,0.5004258943781941,0.5,0.5004258943781941,0.012338090939158955,0.00411904210026813,0.0006804465947509502,0.0001703941174337134
0.20799951553344725,0.0019998073577880858,0.7408126315425911,0.7378090382884008,relu,10.0,"(20, 20, 20)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (20, 20, 20)}",42,0.7630230174261484,0.7342350656084935,0.7442843116628095,0.7397915912026315,0.734896731290243,0.7396977429425828,0.7350843859587395,0.7426790035899422,0.7266927037519204,0.7326417880983541,0.047669824881555925,0.0006321081569985375,0.012437461325376686,0.003760001026859755
0.0835996150970459,0.0016011714935302735,0.7408784583987598,0.740260949138388,relu,3.1622776601683795,"(10,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (10,)}",41,0.7697092535644394,0.7327882071699142,0.7542779998597378,0.7371286712109737,0.7261649249967745,0.7440601443288416,0.7159963876476314,0.7453444078057483,0.7381220459050232,0.7419833151764627,0.012435450719358851,0.0004898441483049654,0.01926247029901542,0.004666798012106276
0.06520113945007325,0.0013975143432617188,0.5428614669312156,0.5439843150185036,relu,3.1622776601683795,"(5,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (5,)}",164,0.4965753424657534,0.4978390504565788,0.5016831474857985,0.49484100413817333,0.49655184546638054,0.4965533629205022,0.7180195395423573,0.734134794656762,0.5017064846416383,0.49655336292050206,0.0643996422344149,0.0007997092346948989,0.08755293962316649,0.09508001449965853
