param_MLP__max_iter,test acc,train acc
1,0.5961538461538461,0.6252747252747253
2,0.6487179487179487,0.6329670329670329
4,0.6730769230769231,0.7027472527472527
8,0.7423076923076923,0.7747252747252747
16,0.7756410256410257,0.8417582417582418
32,0.8141025641025641,0.921978021978022
64,0.8217948717948718,0.9895604395604396
128,0.8064102564102564,1.0
256,0.8012820512820513,1.0
512,0.8012820512820513,1.0
1024,0.8012820512820513,1.0
2048,0.8012820512820513,1.0
2100,0.8012820512820513,1.0
2200,0.8012820512820513,1.0
2300,0.8012820512820513,1.0
2400,0.8012820512820513,1.0
2500,0.8012820512820513,1.0
2600,0.8012820512820513,1.0
2700,0.8012820512820513,1.0
2800,0.8012820512820513,1.0
2900,0.8012820512820513,1.0
3000,0.8012820512820513,1.0
