mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.8062044620513916,0.013796663284301758,0.7708791208791209,0.9171703296703295,1,{'Boost__n_estimators': 1},12,0.728021978021978,0.9120879120879121,0.7857142857142857,0.9251373626373627,0.7939560439560439,0.926510989010989,0.7472527472527473,0.9175824175824175,0.7994505494505495,0.904532967032967,0.022004943807487604,0.0018319469850695113,0.028156325220481233,0.008202746498260246
0.9572029113769531,0.013197660446166992,0.7708791208791209,0.9171703296703295,2,{'Boost__n_estimators': 2},12,0.728021978021978,0.9120879120879121,0.7857142857142857,0.9251373626373627,0.7939560439560439,0.926510989010989,0.7472527472527473,0.9175824175824175,0.7994505494505495,0.904532967032967,0.03930231392640169,0.003059453009256875,0.028156325220481233,0.008202746498260246
1.332798433303833,0.012602472305297851,0.7862637362637362,0.9667582417582418,5,{'Boost__n_estimators': 5},1,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8104395604395604,0.9690934065934066,0.7445054945054945,0.9656593406593407,0.804945054945055,0.9629120879120879,0.03889668708576926,0.0010226952275100359,0.02893888809288724,0.0024801469897345776
1.7434016227722169,0.016195917129516603,0.7840659340659341,0.9678571428571429,10,{'Boost__n_estimators': 10},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.24083511427472423,0.0013294802886218435,0.029260498803723833,0.0019132401479648447
1.802999782562256,0.014001703262329102,0.7840659340659341,0.9678571428571429,20,{'Boost__n_estimators': 20},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.32394902874092946,0.0024482422013892254,0.029260498803723833,0.0019132401479648447
1.6628007411956787,0.01399998664855957,0.7840659340659341,0.9678571428571429,30,{'Boost__n_estimators': 30},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.3133608736769136,0.002278806187912034,0.029260498803723833,0.0019132401479648447
1.6892011165618896,0.011799383163452148,0.7840659340659341,0.9678571428571429,40,{'Boost__n_estimators': 40},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.27160767120695956,0.0016029246686538653,0.029260498803723833,0.0019132401479648447
1.7443996906280517,0.012000942230224609,0.7840659340659341,0.9678571428571429,50,{'Boost__n_estimators': 50},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.24708556300971107,0.002190731485762926,0.029260498803723833,0.0019132401479648447
1.7443999767303466,0.015398883819580078,0.7840659340659341,0.9678571428571429,60,{'Boost__n_estimators': 60},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.2511894827886552,0.005004493705794716,0.029260498803723833,0.0019132401479648447
1.7070021152496337,0.016598892211914063,0.7840659340659341,0.9678571428571429,70,{'Boost__n_estimators': 70},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.2066391457945033,0.003667561632233121,0.029260498803723833,0.0019132401479648447
1.7229984283447266,0.020200395584106447,0.7840659340659341,0.9678571428571429,80,{'Boost__n_estimators': 80},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.2693632093132268,0.011481138978095362,0.029260498803723833,0.0019132401479648447
1.773802900314331,0.017198801040649414,0.7840659340659341,0.9678571428571429,90,{'Boost__n_estimators': 90},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.3922379808011988,0.006106623288719752,0.029260498803723833,0.0019132401479648447
1.7026004791259766,0.014599466323852539,0.7840659340659341,0.9678571428571429,100,{'Boost__n_estimators': 100},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.31040387253521057,0.005605366307426055,0.029260498803723833,0.0019132401479648447
