mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
8.731202125549316,0.07759766578674317,0.5,0.5,0.1,0.05,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.05, 'SVM__n_iter': 687}",168,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9564890271015277,0.01912708584104739,0.0,0.0
9.70140027999878,0.06280074119567872,0.5142857142857142,0.5214285714285714,0.1,0.15000000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.15000000000000002, 'SVM__n_iter': 687}",167,0.5494505494505495,0.5693681318681318,0.5192307692307693,0.5288461538461539,0.5,0.5,0.5027472527472527,0.5089285714285714,0.5,0.5,1.6117296613690937,0.009806300669995799,0.018985881915572544,0.026183350935274383
10.155003213882447,0.07759723663330079,0.6329670329670329,0.6502747252747253,0.1,0.25000000000000006,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.25000000000000006, 'SVM__n_iter': 687}",158,0.6675824175824175,0.6675824175824175,0.6675824175824175,0.654532967032967,0.6098901098901099,0.6380494505494505,0.5934065934065934,0.6552197802197802,0.6263736263736264,0.635989010989011,2.1485805445098043,0.011636729393213916,0.03012472563048964,0.011795604088477206
9.101000690460205,0.08040065765380859,0.6445054945054945,0.6612637362637362,0.1,0.35000000000000003,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.35000000000000003, 'SVM__n_iter': 687}",154,0.6703296703296703,0.6778846153846154,0.6703296703296703,0.665521978021978,0.6263736263736264,0.6524725274725275,0.6098901098901099,0.6634615384615384,0.6456043956043956,0.646978021978022,1.2555014722522713,0.01854121571641479,0.023924770392392533,0.010775746515085265
8.133799695968628,0.07700138092041016,0.6401098901098901,0.656043956043956,0.1,0.45000000000000007,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.45000000000000007, 'SVM__n_iter': 687}",155,0.6593406593406593,0.6703296703296703,0.6620879120879121,0.6627747252747253,0.6208791208791209,0.6524725274725275,0.6153846153846154,0.6531593406593407,0.6428571428571429,0.6414835164835165,1.5874166889047927,0.010754051680468644,0.019191482633596664,0.009823109438890691
10.382604932785034,0.08579516410827637,0.6335164835164835,0.6506868131868131,0.1,0.5500000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.5500000000000002, 'SVM__n_iter': 687}",157,0.6456043956043956,0.6565934065934066,0.6593406593406593,0.654532967032967,0.6208791208791209,0.6497252747252747,0.6126373626373627,0.6538461538461539,0.6291208791208791,0.6387362637362637,1.0978750672040303,0.020605078867315843,0.01689951263651614,0.006378124596837326
10.085800123214721,0.0814013957977295,0.6258241758241758,0.6445054945054945,0.1,0.6500000000000001,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.6500000000000001, 'SVM__n_iter': 687}",160,0.6456043956043956,0.6497252747252747,0.6401098901098901,0.6442307692307693,0.6126373626373627,0.6462912087912088,0.6071428571428571,0.6462912087912088,0.6236263736263736,0.635989010989011,0.842428431279068,0.02078319825512095,0.014987012853830613,0.004609330147132585
8.178401374816895,0.07460141181945801,0.6247252747252747,0.6388736263736263,0.1,0.7500000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.7500000000000002, 'SVM__n_iter': 687}",161,0.6456043956043956,0.6428571428571429,0.6346153846153846,0.635989010989011,0.6098901098901099,0.6414835164835165,0.6043956043956044,0.6449175824175825,0.6291208791208791,0.6291208791208791,1.3261127119037441,0.011199636480915242,0.015404226119644164,0.005703444915391978
9.448199129104614,0.07400031089782715,0.6197802197802198,0.635989010989011,0.1,0.8500000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.8500000000000002, 'SVM__n_iter': 687}",163,0.6373626373626373,0.6394230769230769,0.6263736263736264,0.6298076923076923,0.6098901098901099,0.6387362637362637,0.6043956043956044,0.6421703296703297,0.6208791208791209,0.6298076923076923,0.46477333036152446,0.0019998791981512866,0.01173305302421022,0.005176220791598023
8.701200723648071,0.06939888000488281,0.6225274725274725,0.6351648351648352,0.1,0.9500000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.9500000000000002, 'SVM__n_iter': 687}",162,0.6401098901098901,0.6353021978021978,0.6318681318681318,0.6339285714285714,0.6098901098901099,0.635989010989011,0.6098901098901099,0.6435439560439561,0.6208791208791209,0.6270604395604396,1.3493429127580532,0.01046143430833604,0.011987595730368875,0.005255803975194794
9.568199825286865,0.07899942398071289,0.5,0.5,0.03162277660168379,0.05,687,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.05, 'SVM__n_iter': 687}",168,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.715368357539241,0.01133186830650346,0.0,0.0
8.159400415420532,0.08379950523376464,0.6329670329670329,0.7001373626373627,0.03162277660168379,0.15000000000000002,687,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.15000000000000002, 'SVM__n_iter': 687}",158,0.6675824175824175,0.7239010989010989,0.7362637362637363,0.742445054945055,0.5576923076923077,0.6236263736263736,0.5851648351648352,0.695054945054945,0.6181318681318682,0.7156593406593407,1.4882421927535652,0.02119856160683342,0.06330853064102891,0.041171228301451736
