mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.018481731414794922,0.007480734733272117,0.001914215087890625,0.0011151004952712092,1,{'MLP__max_iter': 1},0.3507128387417346,0.31538384642298267,0.28823373357786314,0.28226851371250833,0.23525775412567865,0.29451572827380984,0.038169643643609336,22,0.28068498386924146,0.29777869381180844,0.30264222382528183,0.30455154408986296,0.30690860857488655,0.2985132108342162,0.009406148116860063
0.037235355377197264,0.026557234672680573,0.0015828132629394532,0.0004818494905910908,2,{'MLP__max_iter': 2},0.3686503841302603,0.32176430556997354,0.29389521359831755,0.2879299937329627,0.2628711663544755,0.3071462244754597,0.03607323466622794,21,0.2938498234025962,0.3126831781800694,0.3188772476230826,0.3182514437078004,0.3180347642726818,0.31233929143724604,0.009509106295268285
0.045035600662231445,0.011444484671167142,0.0018320560455322265,0.0011436396574609651,4,{'MLP__max_iter': 4},0.38767725413752246,0.3367763590435655,0.35529487756208405,0.34341249793341566,0.2825950322321875,0.34128655438345473,0.03406789332920007,20,0.32695182178187543,0.3496108000412216,0.3358640300153818,0.3431292485849183,0.3545814725555066,0.3420274745957807,0.009814142370767522
0.07212915420532226,0.02213685001412039,0.0016490459442138673,0.0005313791991883248,8,{'MLP__max_iter': 8},0.407388296449184,0.3747150035948956,0.40906067491762504,0.43595510801988535,0.3374497082769941,0.39301748251817414,0.03379454434557219,19,0.4017780529945109,0.4276717086706438,0.409845075744564,0.3927851633021501,0.41455466583741485,0.40932693330985676,0.011787656179269506
0.12337079048156738,0.02231127222749312,0.0014286041259765625,0.0004964916099877431,16,{'MLP__max_iter': 16},0.5678324351182968,0.4840594253549719,0.5757004279271487,0.5205851029062905,0.4493257911255008,0.5196567005802,0.04827961950645438,18,0.5189281837224592,0.5510301947717358,0.5272087298043123,0.5520393589288509,0.558221950603847,0.541485683566241,0.015461258681541416
0.18120198249816893,0.029688711911993074,0.0019989013671875,4.39104630783895e-06,32,{'MLP__max_iter': 32},0.7001184879409854,0.6759268871279667,0.7273050586141006,0.7023349519975701,0.6256062917891654,0.6863701338726645,0.03433949914040866,17,0.7074829900769078,0.739591219813816,0.7113741655502503,0.7180868629269578,0.7384822531464063,0.7230034983028677,0.01352808349851509
0.37357583045959475,0.015579165926535923,0.001600503921508789,0.0004911481060681656,64,{'MLP__max_iter': 64},0.908370599701869,0.8169736745985059,0.8396926460354261,0.8661007109050294,0.7979647616802914,0.8459513814418964,0.0386962684373578,16,0.9029674479763925,0.9148940263130775,0.890914698147703,0.8804697727853923,0.9049102939525082,0.8988312478350148,0.011932236426529986
0.7634610176086426,0.03979457875045839,0.001569986343383789,0.0004853509683045903,128,{'MLP__max_iter': 128},0.9876543209876543,0.9160409241380901,0.9219580839014039,0.9605042081425347,0.9015129900470974,0.9376351496504173,0.03176642101447976,15,0.9903467730838035,0.9705313379058698,0.9874578147244837,0.9799125950862406,0.9821010209203735,0.9820699083441543,0.006860460645263769
1.446626615524292,0.04307677752374124,0.0015729904174804688,0.00047036365373588304,256,{'MLP__max_iter': 256},0.9619768375186332,0.9515919428200128,0.9414743301382978,0.9605042081425347,0.9838487588850434,0.9598412986566113,0.014020152149516622,14,0.9949268382184303,0.9975381585425896,0.9925280630842104,0.9920356947927281,0.9959288436639495,0.9945915196603817,0.002067541947525671
2.4898014068603516,0.1779989182516861,0.0019160270690917968,0.000478782443333059,512,{'MLP__max_iter': 512},0.9733478576615832,0.9577647823261857,0.9456747830566996,0.9605042081425347,0.9877935320605857,0.9649862450781281,0.01436734208607482,1,0.997956515756158,0.9990152634170358,0.9979572441116188,0.9935127996671743,0.9979644218319748,0.9972812489567924,0.001928092117810529
2.177874946594238,0.25542930341106435,0.0019617080688476562,0.0006392369105052586,1024,{'MLP__max_iter': 1024},0.9733478576615832,0.9577647823261857,0.9456747830566996,0.9605042081425347,0.9877935320605857,0.9649862450781281,0.01436734208607482,1,0.997956515756158,0.9990152634170358,0.9979572441116188,0.9935127996671743,0.9979644218319748,0.9972812489567924,0.001928092117810529
1.886610460281372,0.20427359666072875,0.0016037464141845704,0.0004687393814442,2048,{'MLP__max_iter': 2048},0.9733478576615832,0.9577647823261857,0.9456747830566996,0.9605042081425347,0.9877935320605857,0.9649862450781281,0.01436734208607482,1,0.997956515756158,0.9990152634170358,0.9979572441116188,0.9935127996671743,0.9979644218319748,0.9972812489567924,0.001928092117810529
1.920253849029541,0.06785704839895758,0.0017639636993408204,0.0003887248810684483,2100,{'MLP__max_iter': 2100},0.9733478576615832,0.9577647823261857,0.9456747830566996,0.9605042081425347,0.9877935320605857,0.9649862450781281,0.01436734208607482,1,0.997956515756158,0.9990152634170358,0.9979572441116188,0.9935127996671743,0.9979644218319748,0.9972812489567924,0.001928092117810529
1.978474235534668,0.338161728636144,0.0015053749084472656,0.0004497634898155553,2200,{'MLP__max_iter': 2200},0.9733478576615832,0.9577647823261857,0.9456747830566996,0.9605042081425347,0.9877935320605857,0.9649862450781281,0.01436734208607482,1,0.997956515756158,0.9990152634170358,0.9979572441116188,0.9935127996671743,0.9979644218319748,0.9972812489567924,0.001928092117810529
