param_SVM__n_iter,test acc,train acc
1,0.5803735475527882,0.5623934608816296
4,0.5944054176548003,0.5918881149326275
7,0.6039322354970481,0.6080166354493249
10,0.6044492415492765,0.6197162072583039
13,0.5786351413451296,0.6090323116639784
16,0.5664054696142882,0.6052439262253534
19,0.6395620135344403,0.6554682890873034
22,0.6064585186048127,0.6435449033181094
25,0.6087904247445718,0.6323463531235953
28,0.6294019394336242,0.6561920875265995
31,0.6409428277771214,0.6614258186244641
34,0.6228886072282143,0.6405694637384608
37,0.6133170612317408,0.6336427282964289
40,0.6101666467930774,0.6358710425575215
43,0.6445206135775174,0.6533994957817552
46,0.6049842962053062,0.6277519480992031
49,0.6238948328987901,0.6549818285358382
52,0.6253589103912436,0.6430142135648669
55,0.624843020370269,0.657535299906691
58,0.6252927763916578,0.6620114808864688
61,0.638187099620929,0.6527816267104481
64,0.6395094091268578,0.6599701427790193
67,0.6316949537137473,0.6529802850819385
70,0.6166065633523603,0.6279912519219324
73,0.6258566557565464,0.6576137740765814
