param_SVM__n_iter,train acc,test acc
1,0.6753978925536309,0.6715480172001911
4,0.6956359982540479,0.6809921962095876
7,0.7987599637919973,0.7664556458034719
10,0.8470299770624061,0.8292881032011468
13,0.7993912602787079,0.7727106227106227
16,0.7460415806140713,0.7059683070552636
19,0.922767978767346,0.893354833572225
22,0.89586683891833,0.8694776238254499
25,0.8777994557081799,0.8446289218028349
28,0.8152088258471237,0.7846153846153847
31,0.9108436523211497,0.9145644210861603
34,0.8966548609829476,0.8779941073419335
37,0.9437355175312937,0.9347029781812392
40,0.7888100866824272,0.7913003663003664
43,0.9572007347060738,0.9108297499601847
46,0.7911741528762805,0.7764652014652015
49,0.9663376894255643,0.9228380315336837
52,0.9763476202612482,0.9704013377926421
55,0.969769540164225,0.9378244943462336
58,0.9806363351408041,0.9349856665074057
61,0.9742691754476931,0.9603280777193821
64,0.9792829292156983,0.9385889472845995
67,0.8930955791669231,0.8657509157509158
70,0.9530262683786372,0.9412645325688804
73,0.9609357835253589,0.9296424589902852
