param_SVM__n_iter,train acc,test acc
1,0.5861346199477973,0.5728260869565218
4,0.7604544748814305,0.7465997770345597
7,0.6807485330778853,0.6773451186494664
10,0.8133954962634865,0.7769628921802836
13,0.8427324738326875,0.845727822901736
16,0.8546817006043456,0.8313306258958433
19,0.9140484706805991,0.8920648192387323
22,0.9724075099381594,0.9415273132664438
25,0.9680733885827614,0.963075330466635
28,0.9701005680203655,0.9389910813823859
31,0.9399843567367098,0.9385013537187451
34,0.9685816481671896,0.9650581302755216
37,0.9112947876295183,0.9137999681477943
40,0.7789598108747045,0.7737179487179487
43,0.9708827311848747,0.9392419175027871
46,0.8384554767533491,0.8403846153846155
49,0.9174847155943415,0.8881748686096513
52,0.9871060255858168,0.9404801720019111
55,0.8486426393173211,0.8347985347985348
58,0.9729216284226961,0.9450907787864311
61,0.9582172538749298,0.9507166746297181
64,0.9804649623126251,0.9478380315336837
67,0.9609299246252502,0.9523889154323938
70,0.9517871110056509,0.9374502309284918
73,0.9196320024841736,0.9110527154005416
