mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__alpha,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.1913981914520264,0.017402219772338866,0.6203296703296703,0.6229395604395604,0.1,687,"{'SVM__alpha': 0.1, 'SVM__n_iter': 687}",1,0.6236263736263736,0.625,0.6181318681318682,0.6229395604395604,0.6098901098901099,0.6160714285714286,0.6071428571428571,0.6263736263736264,0.6428571428571429,0.6243131868131868,0.128396341830072,0.010479665663230431,0.012696945064056438,0.0036082213012537502
1.1631978511810304,0.01520075798034668,0.6186813186813187,0.6245879120879121,0.03162277660168379,687,"{'SVM__alpha': 0.03162277660168379, 'SVM__n_iter': 687}",2,0.6236263736263736,0.6256868131868132,0.6181318681318682,0.6256868131868132,0.6098901098901099,0.6188186813186813,0.6016483516483516,0.6277472527472527,0.6401098901098901,0.625,0.1582050547007934,0.005878083425746262,0.013048727568173518,0.0030282153413528196
1.2684031486511231,0.013797473907470704,0.6164835164835165,0.625,0.01,687,"{'SVM__alpha': 0.01, 'SVM__n_iter': 687}",3,0.6236263736263736,0.6236263736263736,0.6153846153846154,0.6284340659340659,0.6043956043956044,0.6167582417582418,0.5989010989010989,0.6318681318681318,0.6401098901098901,0.6243131868131868,0.18535149673999077,0.00630670011896508,0.01459926401712793,0.0050842734954180445
1.084999179840088,0.013600969314575195,0.6153846153846154,0.6266483516483516,0.0031622776601683794,687,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 687}",4,0.6291208791208791,0.6270604395604396,0.6071428571428571,0.6353021978021978,0.6071428571428571,0.6188186813186813,0.5989010989010989,0.6298076923076923,0.6346153846153846,0.6222527472527473,0.140934942618771,0.0031366111971080223,0.013900121583157716,0.005756133747185958
1.2000009536743164,0.010600566864013672,0.6076923076923076,0.6274725274725276,0.001,687,"{'SVM__alpha': 0.001, 'SVM__n_iter': 687}",5,0.6236263736263736,0.6311813186813187,0.5906593406593407,0.6304945054945055,0.6071428571428571,0.6222527472527473,0.5879120879120879,0.6318681318681318,0.6291208791208791,0.6215659340659341,0.17632154005997083,0.001625664539051511,0.01670185071820951,0.004568211304482372
1.0791982173919679,0.011000299453735351,0.5945054945054945,0.6164835164835165,0.00031622776601683794,687,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 687}",7,0.6126373626373627,0.617445054945055,0.5851648351648352,0.6208791208791209,0.5741758241758241,0.6133241758241759,0.5769230769230769,0.6181318681318682,0.6236263736263736,0.6126373626373627,0.14469217341285553,0.0020964428957132683,0.019932260601337445,0.003089896120659877
1.193998384475708,0.015401268005371093,0.5851648351648352,0.6008241758241758,0.0001,687,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 687}",9,0.5851648351648352,0.6023351648351648,0.5851648351648352,0.5831043956043956,0.5686813186813187,0.5940934065934066,0.5769230769230769,0.6201923076923077,0.6098901098901099,0.6043956043956044,0.15485055636431352,0.005083003429520513,0.013791099338473804,0.012243010964372074
1.1333986282348634,0.012000322341918945,0.6054945054945055,0.5896978021978023,3.1622776601683795e-05,687,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 687}",6,0.6181318681318682,0.5796703296703297,0.6016483516483516,0.5851648351648352,0.6153846153846154,0.5762362637362637,0.5824175824175825,0.614010989010989,0.6098901098901099,0.5934065934065934,0.10894115833000834,0.0016725437618262755,0.012838814775327388,0.013469945793550854
1.1855995655059814,0.020801305770874023,0.589010989010989,0.5798076923076924,1e-05,687,"{'SVM__alpha': 1e-05, 'SVM__n_iter': 687}",8,0.5824175824175825,0.5707417582417582,0.5741758241758241,0.5961538461538461,0.5824175824175825,0.5439560439560439,0.6016483516483516,0.5961538461538461,0.6043956043956044,0.592032967032967,0.18319767330339637,0.016314505120347194,0.011861007222485096,0.020255284166117337
1.1098018646240235,0.009797477722167968,0.5637362637362637,0.5593406593406594,3.162277660168379e-06,687,"{'SVM__alpha': 3.162277660168379e-06, 'SVM__n_iter': 687}",16,0.5824175824175825,0.5645604395604396,0.5494505494505495,0.5879120879120879,0.5989010989010989,0.5350274725274725,0.554945054945055,0.5611263736263736,0.532967032967033,0.5480769230769231,0.16570609227232563,0.0009768340428950788,0.023722014444970217,0.017690473251426524
1.1040025234222413,0.017197799682617188,0.5681318681318681,0.5630494505494505,1e-06,687,"{'SVM__alpha': 1e-06, 'SVM__n_iter': 687}",14,0.5851648351648352,0.5837912087912088,0.554945054945055,0.5796703296703297,0.5824175824175825,0.5302197802197802,0.5467032967032966,0.5556318681318682,0.5714285714285714,0.5659340659340659,0.1347823902539968,0.015406635423275023,0.015087395843676925,0.01922291833465485
1.1222009658813477,0.012399816513061523,0.578021978021978,0.556456043956044,3.162277660168379e-07,687,"{'SVM__alpha': 3.162277660168379e-07, 'SVM__n_iter': 687}",10,0.5989010989010989,0.5666208791208791,0.554945054945055,0.5446428571428571,0.5906593406593407,0.5357142857142857,0.5851648351648352,0.573489010989011,0.5604395604395604,0.5618131868131868,0.16305356824218736,0.0014976697326915596,0.01725309721770063,0.014084862350119328
