mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.6893988609313966,0.029399776458740236,0.7615384615384615,0.9519230769230769,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",17,0.7252747252747253,0.9560439560439561,0.7774725274725275,0.9491758241758241,0.7857142857142857,0.9553571428571429,0.760989010989011,0.9457417582417582,0.7582417582417582,0.9532967032967034,0.08382658665309628,0.020183904502796574,0.02080669915248516,0.003909409195263143
1.6658005714416504,0.027002286911010743,0.7587912087912088,0.9498626373626374,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",20,0.7252747252747253,0.9361263736263736,0.7912087912087912,0.948489010989011,0.7912087912087912,0.9539835164835165,0.739010989010989,0.9526098901098901,0.7472527472527473,0.9581043956043956,0.13513235601840545,0.018277635281874073,0.027384474273356274,0.007523661504191852
1.8297996520996094,0.019000530242919922,0.7730769230769231,0.9159340659340659,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",5,0.7362637362637363,0.9182692307692307,0.7884615384615384,0.9114010989010989,0.7939560439560439,0.9271978021978022,0.7664835164835165,0.9127747252747253,0.7802197802197802,0.9100274725274725,0.15976369269738616,0.01702924413870695,0.02060256402115675,0.006288748979263532
1.7343998908996583,0.010998392105102539,0.7730769230769231,0.9177197802197801,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",5,0.7307692307692307,0.8846153846153846,0.7967032967032966,0.9203296703296703,0.7939560439560439,0.9271978021978022,0.7637362637362637,0.926510989010989,0.7802197802197802,0.929945054945055,0.09842178513205323,0.0021898174750849494,0.024175824175824177,0.016848074842265918
1.7968000411987304,0.020202064514160158,0.7730769230769231,0.9159340659340659,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",5,0.7362637362637363,0.9182692307692307,0.7884615384615384,0.9114010989010989,0.7939560439560439,0.9271978021978022,0.7664835164835165,0.9127747252747253,0.7802197802197802,0.9100274725274725,0.17984176499020288,0.021021675918263136,0.02060256402115675,0.006288748979263532
1.8626004219055177,0.04360017776489258,0.7730769230769231,0.9177197802197801,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",5,0.7307692307692307,0.8846153846153846,0.7967032967032966,0.9203296703296703,0.7939560439560439,0.9271978021978022,0.7637362637362637,0.926510989010989,0.7802197802197802,0.929945054945055,0.19882116249328038,0.032811125474977415,0.024175824175824177,0.016848074842265918
1.7551991939544678,0.03719983100891113,0.7675824175824176,0.9361263736263735,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",15,0.7252747252747253,0.9560439560439561,0.7967032967032966,0.9162087912087912,0.7857142857142857,0.9553571428571429,0.7747252747252747,0.9162087912087912,0.7554945054945055,0.9368131868131868,0.2103152210948119,0.0198856460069113,0.025154995917054057,0.01766592463271737
1.9619982719421387,0.026601791381835938,0.7670329670329671,0.9399725274725276,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",16,0.7472527472527473,0.904532967032967,0.7912087912087912,0.9457417582417582,0.7967032967032966,0.9546703296703297,0.7527472527472527,0.9375,0.7472527472527473,0.9574175824175825,0.26993814764753166,0.022294808290450368,0.022142243603966882,0.01905631229489067
1.6963995933532714,0.018599939346313477,0.7730769230769231,0.9159340659340659,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",5,0.7362637362637363,0.9182692307692307,0.7884615384615384,0.9114010989010989,0.7939560439560439,0.9271978021978022,0.7664835164835165,0.9127747252747253,0.7802197802197802,0.9100274725274725,0.28410005083068113,0.011808713317894062,0.02060256402115675,0.006288748979263532
1.671799612045288,0.01800084114074707,0.7730769230769231,0.9177197802197801,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",5,0.7307692307692307,0.8846153846153846,0.7967032967032966,0.9203296703296703,0.7939560439560439,0.9271978021978022,0.7637362637362637,0.926510989010989,0.7802197802197802,0.929945054945055,0.20127005857338062,0.011045104447975808,0.024175824175824177,0.016848074842265918
1.5665999889373778,0.0182009220123291,0.7615384615384615,0.9519230769230769,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",17,0.7252747252747253,0.9560439560439561,0.7774725274725275,0.9491758241758241,0.7857142857142857,0.9553571428571429,0.760989010989011,0.9457417582417582,0.7582417582417582,0.9532967032967034,0.10627441015931055,0.017928115672090485,0.02080669915248516,0.003909409195263143
