param_SVM__n_iter,test acc,train acc
1,0.7683706487853331,0.7769739328393827
6,0.7272796556265758,0.7390151047051624
11,0.747814189043556,0.760632112053964
16,0.727802046732135,0.7374873424824566
21,0.7094153186419505,0.7191165547878974
26,0.7556004992667149,0.7714089683151772
31,0.6981398565897978,0.7048303970826701
36,0.7487880618068988,0.7649156603677214
41,0.7385996295511598,0.7565494509796336
46,0.7480832092847927,0.7601929281900794
51,0.7693994090153252,0.7738816939201177
56,0.7473984487282848,0.7553202689259928
61,0.7394180403724115,0.7407546411090689
66,0.7411998910390636,0.7482606083692552
71,0.7533721254444883,0.7577437716558935
76,0.7498729419636265,0.756103781278097
81,0.7490806134372315,0.7567297804300734
86,0.7682697017056789,0.7786062212849673
91,0.6962369382160307,0.711296371857163
96,0.7556444092400342,0.7637093524736579
101,0.7774387461604569,0.7795554699527933
106,0.746143603727051,0.7509894087429322
111,0.7540443607670924,0.7676116261882836
116,0.7609377106646893,0.7603355007999006
121,0.7379095378882305,0.749662649578183
126,0.7702958087643849,0.7711305405702463
131,0.748073148971062,0.7560073044430188
136,0.7698803837296008,0.779761626935313
141,0.7304439825680845,0.7389875978044049
146,0.7550577582387951,0.7566692652484068
151,0.7719168663825244,0.7775797795672255
156,0.747953399709621,0.7563674421605159
161,0.7427607587459955,0.7534155173897468
166,0.7499143296930476,0.75702216430781
171,0.7201351704899298,0.7202376781535098
176,0.7412898892872506,0.7463634429466921
181,0.7624649866687946,0.7757256407283734
186,0.7405963295389613,0.7546359551444101
191,0.7307421805853257,0.7396898055487963
196,0.7615039830817052,0.7635340611292514
