,0,1,2,3,4
50,1.0,1.0,1.0,1.0,1.0
100,1.0,1.0,1.0,1.0,1.0
182,1.0,1.0,1.0,1.0,1.0
364,1.0,1.0,1.0,1.0,1.0
546,1.0,1.0,1.0,1.0,1.0
728,1.0,1.0,1.0,1.0,1.0
910,1.0,1.0,0.9988888888888888,0.9988913525498891,0.9988913525498891
1092,0.9990808823529411,1.0,1.0,0.9981684981684982,1.0
1274,0.9968596556960028,0.9961078464238529,0.9984076433121019,0.9961300309597524,1.0
