param_SVM__n_iter,test acc,train acc
1,0.6034130156779064,0.5858591898912406
6,0.5845101356906475,0.5835977371323746
11,0.4553422883864096,0.44870205901274324
16,0.4116091309103289,0.40565406560175965
21,0.5738873705832549,0.553723368750351
26,0.4482288195220579,0.4521239651523089
31,0.5050419090318351,0.5036571740900642
36,0.6072197845629734,0.6019088852298329
41,0.5951475875863843,0.6061438289527435
46,0.5630713445391105,0.5607704378974815
51,0.5895410673658877,0.5969045495561414
56,0.5716887798654423,0.5855295722326443
61,0.5428977852131074,0.5371012714600897
66,0.5559898060607541,0.5663391008894245
71,0.575521084826288,0.5650469594823417
76,0.510417433652285,0.538045708174168
81,0.5811449355485091,0.591517937769248
86,0.5950110978788226,0.5850645759057358
91,0.6130293081241999,0.6172400876977413
96,0.6025714320606599,0.6014664090410818
101,0.553948580323628,0.556861395912869
106,0.6005131228123329,0.5853639989132323
111,0.5524707948571268,0.5616773109546673
116,0.5955157635526788,0.6031758631035605
121,0.3292640135219079,0.331685358431894
126,0.6189776769507574,0.6023555590723786
131,0.5369867851379583,0.5481204412898387
136,0.6085883544791526,0.5960754732085468
141,0.5579641659745215,0.5882972467276754
146,0.5461855995651503,0.5669953230249876
151,0.6049103088218566,0.6200308341216212
156,0.5868286448814622,0.5731202784249161
161,0.46948949848894406,0.4695626404421062
166,0.5984111511281498,0.592049999054589
171,0.5317846844561134,0.5309843798599921
176,0.5120313108971716,0.5298982535521273
181,0.606867269625421,0.6138472719056535
186,0.5843707827225738,0.5705963625235375
191,0.4051551907779959,0.3972858109233728
196,0.5498303655363693,0.5550475833524979
