param_Boost__n_estimators,train acc,test acc
1,0.8603135683338167,0.8502986144290493
2,0.6474318976098618,0.5957676381589425
5,0.9549509170643395,0.9562111801242237
10,0.9694780598838181,0.9649068322981366
20,0.9694780598838181,0.9649068322981366
30,0.9694780598838181,0.9649068322981366
40,0.9694780598838181,0.9649068322981366
50,0.9694780598838181,0.9649068322981366
