,train,test
0.1,0.7321119999999972,0.00039010000000061495
0.2,0.707723099999999,0.0006354999999977906
0.3,0.602622199999999,0.0006583999999989487
0.4,0.5025582000000028,0.0010209000000003243
0.5,0.42016450000000205,0.0009146999999991579
0.6,0.3608160999999974,0.0011063000000035572
0.7,0.23995019999999556,0.0008818999999959942
0.8,0.17156390000000243,0.0011302999999998065
0.9,0.08722070000000315,0.0013312000000027524
