mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.005454921722412109,0.00046345759726409253,0.001483774185180664,0.000470351399392438,1,{'SVM__n_iter': 1},0.7425524595803233,0.7387702765570512,0.7444106101326076,0.7542956119204433,0.7729212409909072,0.7505464501070975,0.012261043922316334,25,0.6727740317722429,0.8027679494959906,0.7906955370058665,0.7546589109118738,0.7537895802200397,0.7549372018812026,0.04542822900349945
0.005474615097045899,0.0007767275014755312,0.0011353492736816406,0.0004263514332811872,4,{'SVM__n_iter': 4},0.8479302832244008,0.8372569600639775,0.8353307111741661,0.9022342180236916,0.9149041304338837,0.8674366810000212,0.03398193254245343,21,0.8276317600110086,0.849302172909057,0.8221300081298021,0.8850775766319718,0.8955822902899792,0.8559447615943638,0.02969525951421049
0.008007478713989259,0.0006720843300967878,0.001636648178100586,0.00044656258370428023,7,{'SVM__n_iter': 7},0.9124794557199098,0.8427338892925936,0.8145610574760372,0.9419856896240162,0.7798638763805672,0.8584993813716252,0.06036965913806277,23,0.8856576915432014,0.8890691949205911,0.869904541620388,0.8814563414364177,0.8622657291513701,0.8776706997343936,0.010056591313913364
0.009104728698730469,0.0011145105524328054,0.0016979694366455079,0.0006042545002474701,10,{'SVM__n_iter': 10},0.9186637618010167,0.8938813722889296,0.8711374095989481,0.8948310399052638,0.8327254909257813,0.8823598584067617,0.028928556943174394,17,0.8897209608121952,0.9357780754888376,0.8895972885392692,0.8635507769113623,0.8852810674314212,0.8927856338366171,0.02357500024208458
0.015501642227172851,0.0073206491631814434,0.0016512870788574219,0.00042839091161672743,13,{'SVM__n_iter': 13},0.8504720406681191,0.8669369566805464,0.8600220691988575,0.8558216162804556,0.8343257291007653,0.8535449100655275,0.010979870911118905,24,0.8379117165879241,0.8734544788338887,0.8902963751770046,0.8360083817113807,0.8732294417042662,0.8621800788028928,0.02151110304763027
0.012653303146362305,0.0024651078077270274,0.0014771461486816407,0.0004544813626530699,16,{'SVM__n_iter': 16},0.911898482589917,0.8817913730194431,0.8556139966396378,0.8731347874397807,0.8854072337381481,0.8815879118150785,0.018354982547975577,18,0.8830605629711175,0.8923163828869575,0.8984954904408032,0.8683540013511504,0.9400199682695989,0.8964492811839255,0.024034454926366012
0.01201457977294922,0.0025679468599182696,0.0009690761566162109,0.0004189701029482443,19,{'SVM__n_iter': 19},0.9249398004815962,0.9094528453502811,0.8985451245910085,0.8795152465867715,0.8476258998755369,0.8921164482108748,0.026640105103135737,12,0.9112730302891304,0.9455126164603681,0.8995103034744407,0.8958138008160337,0.8919720693768999,0.9088163640833745,0.019452762411027544
0.01484832763671875,0.0013810897839852349,0.0017253398895263673,0.0003771795364433089,22,{'SVM__n_iter': 22},0.9245461147421932,0.9044853532033018,0.8612524078111122,0.9192917094401574,0.8614780907959427,0.8942899747918821,0.0276065260516805,11,0.9117792761799918,0.9454112420276413,0.8938669231561952,0.9081398020603132,0.9288208691212138,0.917603622509071,0.017810155129382773
0.018086671829223633,0.006159814388828804,0.0013267993927001953,0.0004996404320892457,25,{'SVM__n_iter': 25},0.7972594885907579,0.8839944480970122,0.9029762659992081,0.9237228508483569,0.8255120141912595,0.8667037070719968,0.047750251961685794,22,0.8323882696512392,0.9133398219077172,0.9349776144183757,0.90762499093508,0.9004801790569755,0.8977621751938776,0.03465851179452469
0.018182706832885743,0.001332563728750768,0.0014385700225830079,0.00046180647049281283,28,{'SVM__n_iter': 28},0.9193479341054159,0.8622270666805079,0.8879161524235749,0.8916302371093194,0.8595284466111752,0.8841997945226977,0.021899529718096417,15,0.9045098848676666,0.9200355726548575,0.9459712441650542,0.9174289978206023,0.8907940566444286,0.9157479512305218,0.01835019368569601
0.021764135360717772,0.00722997134063475,0.001830291748046875,0.00034604839693870327,31,{'SVM__n_iter': 31},0.943355119825708,0.9010288706644981,0.920497056799351,0.9380409164484738,0.8523149698766536,0.9111712680850506,0.03283835647105533,2,0.8897789092243474,0.9364244901698097,0.9177522051610885,0.9343536425711549,0.9101864568966592,0.917699140804612,0.017111362919199825
0.022831201553344727,0.004451475504137171,0.001428079605102539,0.0004359246604266626,34,{'SVM__n_iter': 34},0.9458968772694263,0.8740844550561149,0.8274180959741015,0.9126305792972459,0.8449319588651955,0.8811057310532369,0.04346550366237841,19,0.932496521566289,0.8970635765785365,0.8769404463375815,0.9120092824781775,0.8993626326059144,0.9035744919132999,0.018314658894846184
0.02082991600036621,0.0051555349413229595,0.0010080337524414062,0.00014809897371640798,37,{'SVM__n_iter': 37},0.9122004357298474,0.8583053623539452,0.873598086823458,0.9204970567993509,0.84725375146275,0.8824537044497829,0.02908497161070733,16,0.8757477485742244,0.9016432887148425,0.8896667544532614,0.9179722060007863,0.8931797153861731,0.8956419426258575,0.013944183094862684
0.03043851852416992,0.010280676016784602,0.0009819984436035157,0.00010519630764148321,40,{'SVM__n_iter': 40},0.9423689943813783,0.8807686540480062,0.8437316170109694,0.9356052304770253,0.9326783521268281,0.907017370981659,0.038536812599924274,4,0.9061721939360581,0.8927731785235821,0.89593975549525,0.923448257436097,0.9349590364938004,0.9106584843769575,0.016191028845442733
