mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.7200037479400635,0.01299877166748047,0.578021978021978,0.5972527472527472,1,{'MLP__max_iter': 1},22,0.5521978021978022,0.5961538461538461,0.6703296703296703,0.6119505494505495,0.5686813186813187,0.5906593406593407,0.5247252747252747,0.5837912087912088,0.5741758241758241,0.6037087912087912,0.007432798302516746,0.001550870479177759,0.04925480182640651,0.00983462764816964
0.7493999004364014,0.014799928665161133,0.6230769230769231,0.6557692307692308,2,{'MLP__max_iter': 2},21,0.6263736263736264,0.6758241758241759,0.6868131868131868,0.6559065934065934,0.6016483516483516,0.6462912087912088,0.5604395604395604,0.6366758241758241,0.6401098901098901,0.6641483516483516,0.02268607561339047,0.0017206797831219635,0.04182325765711003,0.013614848014685583
0.8668004035949707,0.016600418090820312,0.6516483516483517,0.7028846153846154,4,{'MLP__max_iter': 4},20,0.6593406593406593,0.7348901098901099,0.6813186813186813,0.6916208791208791,0.6401098901098901,0.7122252747252747,0.5906593406593407,0.6758241758241759,0.6868131868131868,0.6998626373626373,0.03447097128336783,0.0004904197127633247,0.03472423144906585,0.019899100936715788
1.031597375869751,0.018398094177246093,0.701098901098901,0.7737637362637362,8,{'MLP__max_iter': 8},19,0.7417582417582418,0.7815934065934066,0.7005494505494505,0.7664835164835165,0.6758241758241759,0.7891483516483516,0.6318681318681318,0.7561813186813187,0.7554945054945055,0.7754120879120879,0.039142325241535866,0.0013546062250812058,0.04481980991106179,0.01151390636796476
1.1628020763397218,0.013597440719604493,0.756043956043956,0.8517857142857143,16,{'MLP__max_iter': 16},18,0.7747252747252747,0.8509615384615384,0.760989010989011,0.8468406593406593,0.739010989010989,0.8633241758241759,0.7252747252747253,0.8351648351648352,0.7802197802197802,0.8626373626373627,0.009926277106176428,0.0014985611782559075,0.020951292269162224,0.010509812782081643
1.723800039291382,0.013199377059936523,0.7857142857142857,0.945467032967033,32,{'MLP__max_iter': 32},1,0.8076923076923077,0.9340659340659341,0.8076923076923077,0.9464285714285714,0.7747252747252747,0.9532967032967034,0.75,0.9368131868131868,0.7884615384615384,0.9567307692307693,0.07691854052390132,0.0007502942816575224,0.0217710030287461,0.008876645286485463
2.9566020011901855,0.013597726821899414,0.7813186813186813,0.9979395604395604,64,{'MLP__max_iter': 64},2,0.7912087912087912,0.9938186813186813,0.7994505494505495,0.9993131868131868,0.7637362637362637,0.9993131868131868,0.7664835164835165,0.9979395604395604,0.7857142857142857,0.9993131868131868,0.4111045936081251,0.0012002852370721817,0.013965126403449275,0.0021280128275864853
4.680002164840698,0.013598489761352538,0.778021978021978,1.0,128,{'MLP__max_iter': 128},17,0.782967032967033,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.564913954297807,0.001619926373906832,0.016150481820548408,0.0
4.352400636672973,0.013402557373046875,0.7785714285714286,1.0,256,{'MLP__max_iter': 256},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.22049410068223052,0.0007998634920840506,0.016354808863887033,0.0
5.409001874923706,0.014002418518066407,0.7785714285714286,1.0,512,{'MLP__max_iter': 512},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.9582403550504803,0.0010882497261465519,0.016354808863887033,0.0
4.455199384689331,0.014600419998168945,0.7785714285714286,1.0,1024,{'MLP__max_iter': 1024},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.30726137146507404,0.0026528633886055935,0.016354808863887033,0.0
4.477600765228272,0.013000774383544921,0.7785714285714286,1.0,2048,{'MLP__max_iter': 2048},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.2609831312382897,0.0019972114833977164,0.016354808863887033,0.0
4.770400476455689,0.014402008056640625,0.7785714285714286,1.0,2100,{'MLP__max_iter': 2100},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.5065415655052785,0.001962065771896599,0.016354808863887033,0.0
4.450601053237915,0.014398670196533203,0.7785714285714286,1.0,2200,{'MLP__max_iter': 2200},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.28438180854326206,0.0004905009387862684,0.016354808863887033,0.0
4.763796043395996,0.01479964256286621,0.7785714285714286,1.0,2300,{'MLP__max_iter': 2300},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.4112907738500647,0.0011663517245985122,0.016354808863887033,0.0
4.64739761352539,0.013400411605834961,0.7785714285714286,1.0,2400,{'MLP__max_iter': 2400},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.6086720945815263,0.0010209653986317953,0.016354808863887033,0.0
4.370199394226074,0.013402509689331054,0.7785714285714286,1.0,2500,{'MLP__max_iter': 2500},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.21109220142445903,0.0007986852928754978,0.016354808863887033,0.0
