mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4983964920043945,0.6679277213310758,0.007802820205688477,0.0007484299022205948,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.9336543974314873,0.907895698044146,0.8683518460846398,0.9266698963055238,0.9504298314167688,0.9173591387104869,0.028044523362489616,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.014798498153686524,0.02460334588757909,0.025605058670043944,0.020377470207276694,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.9336543974314873,0.907895698044146,0.8683518460846398,0.9266698963055238,0.9504298314167688,0.9173591387104869,0.028044523362489616,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2889986038208008,0.5714992414891454,0.010799312591552734,0.0011674716704785976,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.7745059817299239,0.7633905056307215,0.7611624393000913,0.8656835492193117,0.7810692237397607,0.7891636053285725,0.03896307036979791,39,0.9410681467210985,0.89474463642991,0.9213267226210788,0.9223114592040428,0.8979403552921914,0.9154782640536643,0.01716508477507307
0.3465981960296631,0.28956790954649153,0.011404275894165039,0.0010222231097482839,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.8943546229407943,0.9118404712196884,0.8858957057337625,0.9481585291301889,0.9425175426626805,0.9164920616095096,0.0250077703548102,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0029959678649902344,0.0006289010865355575,0.030797338485717772,0.022230188538990753,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.8073309635745137,0.8241442418230542,0.7656185719613521,0.8799785459704488,0.731104164340739,0.801756685402034,0.05082957201436302,34,0.8945005580783757,0.8876861362066267,0.8800619849694084,0.8961371608288581,0.877122438461162,0.8871016557088861,0.007561315593149794
0.002599811553955078,0.0004903510952434022,0.023002767562866212,0.020513097503472053,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.9301265145434392,0.9138128578074596,0.8735500267214169,0.9377852367056144,0.9031359706250852,0.911711514741789,0.02261022765652297,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2441988468170166,0.2959792143627292,0.012604856491088867,0.000801074754539119,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.8979857050032489,0.7888008427819494,0.7932569754432103,0.8900961586521641,0.7353983435260647,0.8213129786322229,0.06295236480115735,30,0.8990891855113682,0.8514183641922297,0.8602283214821431,0.8762489933167683,0.8766804587375217,0.8727330646480063,0.016329567285323802
0.0029949665069580076,0.0006333260305058067,0.023607397079467775,0.01876511840949362,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.9457095898788366,0.9199856973136324,0.9086146771706827,0.9563037552241329,0.8925297408606551,0.924699228731645,0.023459040872719206,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.014202880859375,0.021901697572771002,0.0126007080078125,0.000799268001193151,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.8206627680311891,0.8085958376106824,0.7325032392508778,0.8243999215659134,0.7397152651143943,0.7852799618515154,0.04045304841523275,40,0.8816688836903507,0.8339450150573093,0.8669410188588507,0.8634023793983946,0.8416588444413732,0.8575232282892558,0.01740047519931197
0.0030016422271728514,1.5313378674597678e-05,0.013194656372070313,0.0009805487902831474,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.9301265145434392,0.9199856973136324,0.8848979780153869,0.9481585291301888,0.8948742758612134,0.9156549071297562,0.02307374457730153,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.002400970458984375,0.0004900981999694891,0.013600015640258789,0.0004893243719057721,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.809291747888239,0.8177157225740223,0.7428765316754521,0.799429814949383,0.6897502057153725,0.771979557365306,0.04859175566624298,44,0.871365227894745,0.8237124569177745,0.8315978305260708,0.8541000538169993,0.8372779183858767,0.8436106975082932,0.017092065971599322
0.0024018287658691406,0.0004898834299064651,0.014597606658935548,0.0004899406176931024,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",0.9301265145434392,0.9076400183012868,0.8787251385092142,0.95013091571796,0.8677219141660362,0.9069528965970157,0.030760740734041173,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
