param_SVM__n_iter,test acc,train acc
1,0.5740827629567455,0.5699096626191373
4,0.5635103656205291,0.5517585619895458
7,0.5770492151944728,0.5840831439369564
10,0.6030135588192151,0.6191808973413786
13,0.5388506945487865,0.5566517421729393
16,0.5485463715788554,0.5746304963246045
19,0.6023034290471924,0.6137901644580378
22,0.5559898335041455,0.5820311152459782
25,0.5810171911350345,0.6001825661615456
28,0.6157819992117343,0.6436727020868045
31,0.600993052842662,0.6105140812867712
34,0.5875264617185042,0.6121485048155076
37,0.5527776668607371,0.588142451382726
40,0.5479889962977492,0.5900115390700527
43,0.5546931241085757,0.5930451846230264
46,0.5776128978817224,0.6063738678919771
49,0.6118597073702018,0.6199292085765781
52,0.6013334972618586,0.6179535480062018
55,0.4840008778226158,0.5137877355678603
58,0.5306395815029163,0.5722260142183749
61,0.5691380126785724,0.5905167511159208
64,0.5529304899601325,0.5895121771610972
67,0.5280492683889133,0.5502681854431
70,0.5903828247912805,0.596911849226978
73,0.5696192462699972,0.5876518697348136
