mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.9618010520935059,0.014999294281005859,0.5813186813186814,0.6039835164835166,1,{'SVM__n_iter': 1},12,0.6126373626373627,0.6126373626373627,0.6071428571428571,0.6002747252747253,0.5769230769230769,0.6016483516483516,0.5302197802197802,0.6119505494505495,0.5796703296703297,0.5934065934065934,0.05008597602055729,0.003464070832066679,0.02926049880372384,0.007340873195542545
0.9949973106384278,0.02099928855895996,0.6032967032967033,0.6262362637362637,2,{'SVM__n_iter': 2},11,0.5824175824175825,0.6263736263736264,0.6098901098901099,0.6270604395604396,0.6071428571428571,0.6153846153846154,0.5906593406593407,0.6373626373626373,0.6263736263736264,0.625,0.0873989145762146,0.011730680122812264,0.015404226119644149,0.00698256320172461
0.8844000816345214,0.020399856567382812,0.610989010989011,0.6200549450549451,4,{'SVM__n_iter': 4},10,0.6236263736263736,0.6243131868131868,0.6126373626373627,0.6181318681318682,0.6043956043956044,0.6133241758241759,0.5851648351648352,0.6304945054945055,0.6291208791208791,0.614010989010989,0.03065018072245317,0.008731442346659686,0.015501907669962501,0.006521471137620426
0.9606000423431397,0.014199781417846679,0.6175824175824176,0.6244505494505495,8,{'SVM__n_iter': 8},9,0.6291208791208791,0.6256868131868132,0.6153846153846154,0.6201923076923077,0.6098901098901099,0.6201923076923077,0.5989010989010989,0.6284340659340659,0.6346153846153846,0.6277472527472527,0.06624286956498263,0.004956259525602709,0.01293252999553825,0.003592499129291751
1.2145991802215577,0.02760004997253418,0.6214285714285714,0.6233516483516484,16,{'SVM__n_iter': 16},1,0.6263736263736264,0.625,0.6208791208791209,0.6229395604395604,0.6071428571428571,0.6167582417582418,0.6098901098901099,0.6256868131868132,0.6428571428571429,0.6263736263736264,0.0820578620100354,0.018800557934158944,0.012815278889769906,0.0034912816008623045
1.2061987400054932,0.030001497268676756,0.6192307692307693,0.6226648351648352,32,{'SVM__n_iter': 32},7,0.6263736263736264,0.625,0.6153846153846154,0.6208791208791209,0.6016483516483516,0.6160714285714286,0.6098901098901099,0.6256868131868132,0.6428571428571429,0.6256868131868132,0.11098438960018285,0.01244282184145631,0.0142857142857143,0.0037517857922383553
1.109199619293213,0.02800126075744629,0.6192307692307693,0.6226648351648352,64,{'SVM__n_iter': 64},7,0.6236263736263736,0.6229395604395604,0.6181318681318682,0.6229395604395604,0.6043956043956044,0.6146978021978022,0.6071428571428571,0.6256868131868132,0.6428571428571429,0.6270604395604396,0.06253089697853721,0.008508426523566474,0.013747248355161357,0.004291345975772872
1.0005990505218505,0.013200664520263672,0.6197802197802198,0.6223901098901099,128,{'SVM__n_iter': 128},5,0.6236263736263736,0.6236263736263736,0.6153846153846154,0.6229395604395604,0.6043956043956044,0.6146978021978022,0.6126373626373627,0.625,0.6428571428571429,0.6256868131868132,0.038462685423927785,0.0035987881177902475,0.013071843135571798,0.00396690359291033
1.1204010009765626,0.03539953231811523,0.6203296703296703,0.6229395604395604,256,{'SVM__n_iter': 256},3,0.6263736263736264,0.6243131868131868,0.6153846153846154,0.6236263736263736,0.6043956043956044,0.6153846153846154,0.6126373626373627,0.6256868131868132,0.6428571428571429,0.6256868131868132,0.048486124598749,0.014233457415017251,0.013278072498455591,0.003860843220482183
1.2331996440887452,0.019400930404663085,0.6203296703296703,0.6233516483516484,512,{'SVM__n_iter': 512},3,0.6263736263736264,0.625,0.6181318681318682,0.6243131868131868,0.6071428571428571,0.6160714285714286,0.6071428571428571,0.6263736263736264,0.6428571428571429,0.625,0.03899912006021892,0.006469754466269931,0.013391272095553814,0.0037011520838756682
1.4615997314453124,0.017200183868408204,0.6208791208791209,0.6228021978021978,1024,{'SVM__n_iter': 1024},2,0.6263736263736264,0.625,0.6181318681318682,0.6229395604395604,0.6098901098901099,0.6160714285714286,0.6071428571428571,0.6256868131868132,0.6428571428571429,0.6243131868131868,0.05998281114046002,0.006494365297432903,0.012885757581932515,0.003485872950672933
2.1214009284973145,0.020799922943115234,0.6197802197802198,0.6228021978021978,2048,{'SVM__n_iter': 2048},5,0.6208791208791209,0.625,0.6181318681318682,0.6229395604395604,0.6098901098901099,0.6160714285714286,0.6071428571428571,0.6256868131868132,0.6428571428571429,0.6243131868131868,0.18938214903705575,0.016787451706546785,0.012601477957340365,0.003485872950672933
