param_MLP__max_iter,test acc,train acc
1,0.7690592500314134,0.7924980748064931
2,0.7619414204268737,0.7869800167867376
4,0.7485284999802807,0.7819922339043224
8,0.7582399988443538,0.797195095270585
16,0.7484356928695707,0.8029134035278555
32,0.7738969711519501,0.86279534738436
64,0.7675921639385159,0.8953107625410909
128,0.7523794791612209,0.8909250043750448
256,0.7523794791612209,0.8909250043750448
512,0.7523794791612209,0.8909250043750448
1024,0.7523794791612209,0.8909250043750448
2048,0.7523794791612209,0.8909250043750448
2100,0.7523794791612209,0.8909250043750448
2200,0.7523794791612209,0.8909250043750448
2300,0.7523794791612209,0.8909250043750448
2400,0.7523794791612209,0.8909250043750448
2500,0.7523794791612209,0.8909250043750448
2600,0.7523794791612209,0.8909250043750448
2700,0.7523794791612209,0.8909250043750448
2800,0.7523794791612209,0.8909250043750448
2900,0.7523794791612209,0.8909250043750448
3000,0.7523794791612209,0.8909250043750448
