param_SVM__n_iter,test acc,train acc
1,0.7295992028333512,0.7272318433318119
4,0.7840354457813865,0.7857347938667602
7,0.7360634273258987,0.7453034717646586
10,0.7673362135065702,0.763366008442939
13,0.7987740920151262,0.8093219902209783
16,0.7356953230260691,0.7494628626147862
19,0.7216596949552371,0.7372866868800884
22,0.7782863060958508,0.798299888223537
25,0.8053529352957308,0.8124376244832031
28,0.7292917470345291,0.7445420228424254
31,0.7881990972201203,0.8058231124446199
34,0.7982617325614351,0.8044247195193716
37,0.8039247146883562,0.8072814993681521
40,0.8009557470015106,0.8110142147555817
43,0.7460900347060762,0.7663610177066842
46,0.761240007328265,0.7829543384289239
49,0.7902939067631908,0.8041589739034215
52,0.8010300672109211,0.8105335678581341
55,0.8042856248607035,0.8106305658765951
58,0.7541629348921718,0.7747182511587354
61,0.7469300279097753,0.7667831762467314
64,0.7993509979831221,0.8068488013419197
67,0.8026651978035383,0.8102703123405685
70,0.8022353271900644,0.8109768632798163
73,0.788459289607713,0.7905490805919763
