param_MLP__max_iter,test acc,train acc
1,0.7684889076299254,0.7930559147538561
2,0.7614177968612279,0.7866112505887924
4,0.7471181643750934,0.7805592691480169
8,0.7569955294373379,0.795882118510847
16,0.7506599967073252,0.8017135235621795
32,0.7750429870613474,0.858706953292819
64,0.7733887103445937,0.8905716999507887
128,0.7733887103445937,0.8905716999507887
256,0.7733887103445937,0.8905716999507887
512,0.7733887103445937,0.8905716999507887
1024,0.7733887103445937,0.8905716999507887
2048,0.7733887103445937,0.8905716999507887
2100,0.7733887103445937,0.8905716999507887
2200,0.7733887103445937,0.8905716999507887
2300,0.7733887103445937,0.8905716999507887
2400,0.7733887103445937,0.8905716999507887
2500,0.7733887103445937,0.8905716999507887
2600,0.7733887103445937,0.8905716999507887
2700,0.7733887103445937,0.8905716999507887
2800,0.7733887103445937,0.8905716999507887
2900,0.7733887103445937,0.8905716999507887
3000,0.7733887103445937,0.8905716999507887
