param_MLP__max_iter,test acc,train acc
1,0.5039745627980923,0.500679088294119
2,0.5127186009538951,0.5098712424249234
4,0.7246651828298888,0.7293342734293654
8,0.7594988871224166,0.7574147265481622
16,0.7521360890302068,0.7476783186139014
32,0.7496953895071543,0.7469400061424601
64,0.7561106518282991,0.7521271545427987
128,0.7472801271860096,0.7496640842116302
256,0.7488903020667728,0.7493438522963063
512,0.7488903020667728,0.7493438522963063
1024,0.7488903020667728,0.7493438522963063
2048,0.7488903020667728,0.7493438522963063
2100,0.7488903020667728,0.7493438522963063
2200,0.7488903020667728,0.7493438522963063
2300,0.7488903020667728,0.7493438522963063
2400,0.7488903020667728,0.7493438522963063
2500,0.7488903020667728,0.7493438522963063
2600,0.7488903020667728,0.7493438522963063
2700,0.7488903020667728,0.7493438522963063
2800,0.7488903020667728,0.7493438522963063
2900,0.7488903020667728,0.7493438522963063
3000,0.7488903020667728,0.7493438522963063
