param_SVM__n_iter,train acc,test acc
1,0.8188559911647787,0.8246217550565377
6,0.8351935341178401,0.8274884535754102
11,0.886820697150524,0.867705844879758
16,0.8685878000123037,0.8632465360726231
21,0.8801576630019246,0.8545230132186654
26,0.8792260978846441,0.860873546743112
31,0.8799452778729847,0.8526078993470299
36,0.8906348411212762,0.85685618729097
41,0.8359464027818058,0.8433787227265488
46,0.9043344143004035,0.8996894409937888
51,0.856909547370672,0.8356704889313585
56,0.8600338058536271,0.8374542124542125
61,0.895928357369471,0.8913680522376176
66,0.9056878202255091,0.8789894887720976
71,0.884565020608681,0.8301759834368532
76,0.8180152389991828,0.809762701067049
81,0.889876113557202,0.9090818601688168
86,0.8856840705294395,0.8818163720337634
91,0.8467575382073523,0.828173275999363
96,0.8893048707966055,0.8676461219939483
101,0.8345417314807491,0.8666507405637841
106,0.8930106251153472,0.8731804427456601
111,0.9010109532137531,0.9082059245102724
116,0.8742401738921554,0.8363752189839146
121,0.8715904863180035,0.8509077878643097
126,0.8623685775469372,0.8406513776078994
131,0.8661431739419557,0.8625019907628604
136,0.9063220461622739,0.877942347507565
141,0.8842632872530839,0.8679288103201147
146,0.8899845032092126,0.8609531772575252
151,0.8949982569772178,0.8725473801560759
156,0.8667202756026612,0.8705446727185859
161,0.8704436066217288,0.8829033285555025
166,0.8943757488406701,0.8620799490364708
171,0.875234722185604,0.8445891065456282
176,0.8428906641356217,0.8466316292403251
181,0.9203687591728406,0.9179168657429527
186,0.9026953869949994,0.9183707596751076
191,0.8287795032238598,0.8050844083452781
196,0.9039462621682031,0.8802476508998248
