param_MLP__max_iter,test acc,train acc
1,0.5961538461538461,0.6252747252747253
2,0.6487179487179487,0.6329670329670329
4,0.6730769230769231,0.7021978021978021
8,0.7410256410256411,0.7752747252747253
16,0.7730769230769231,0.843956043956044
32,0.8064102564102564,0.9192307692307692
64,0.8064102564102564,0.9686813186813187
128,0.8064102564102564,0.9686813186813187
256,0.8064102564102564,0.9686813186813187
512,0.8064102564102564,0.9686813186813187
1024,0.8064102564102564,0.9686813186813187
2048,0.8064102564102564,0.9686813186813187
2100,0.8064102564102564,0.9686813186813187
2200,0.8064102564102564,0.9686813186813187
2300,0.8064102564102564,0.9686813186813187
2400,0.8064102564102564,0.9686813186813187
2500,0.8064102564102564,0.9686813186813187
2600,0.8064102564102564,0.9686813186813187
2700,0.8064102564102564,0.9686813186813187
2800,0.8064102564102564,0.9686813186813187
2900,0.8064102564102564,0.9686813186813187
3000,0.8064102564102564,0.9686813186813187
