mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
21.276378631591797,2.1776662124649855,0.1713968276977539,0.01835831702422565,0.1,0.2,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 1034}",0.6377517868745939,0.6377517868745939,0.5594311221841588,0.6026640675763483,0.5310971348707197,0.5938792100291097,0.04251561450115128,170,0.68736220051068,0.6908226367276211,0.6841343669250647,0.6403345050935308,0.6678799513966273,0.6741067321307048,0.01862803524473523
19.62962141036987,1.9105137573659483,0.148178768157959,0.04803008423626913,0.1,0.4,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.4, 'SVM__n_iter': 1034}",0.839544394755953,0.8187634327985205,0.7908232118758436,0.8219661579985467,0.735152312075389,0.8013909189996975,0.0364837405432232,148,0.860279344984175,0.8482609475608686,0.86196634338299,0.8573828144382231,0.8256769104225633,0.850713272157764,0.013382506943135886
19.943223476409912,1.7405228448412149,0.16302900314331054,0.029132420947919957,0.1,0.6000000000000001,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.6000000000000001, 'SVM__n_iter': 1034}",0.8121966135382028,0.8276756981210421,0.7377283335447979,0.7750441191736739,0.6902257286872671,0.7687397886500329,0.04999006669727333,161,0.8109019463938965,0.7977088462169702,0.8342679170531185,0.7769768586903004,0.8058902796133613,0.8051491695935293,0.01860420733150237
19.137363719940186,2.8318178484187295,0.14698023796081544,0.03280015528279912,0.1,0.8,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.8, 'SVM__n_iter': 1034}",0.8144478844169245,0.825703311533271,0.7214378813569098,0.757500259524551,0.6717072101687485,0.7583488815865818,0.05747739584555178,164,0.8020130575050075,0.7730247825373378,0.8100762216649683,0.7443886427047431,0.7912552800020731,0.784151596882826,0.0234370594655497
21.238203048706055,1.8543186015844475,0.11920323371887206,0.02338802905818714,0.1,1.0,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.0, 'SVM__n_iter': 1034}",0.779360165118679,0.817558085439327,0.7337835603692555,0.7535554863490085,0.6717072101687485,0.7513476894511792,0.04854906448431389,167,0.7886797241716742,0.7502500391222867,0.7884196504566813,0.7355128836369604,0.7784782988435583,0.7682681192462322,0.021561643092953334
20.48289566040039,2.8327651900848383,0.13839807510375976,0.04080615074946667,0.1,1.2,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 1034}",0.779360165118679,0.817558085439327,0.7555278729367799,0.7360116266998856,0.6697348235809774,0.7517969341370254,0.04906930006117454,166,0.7842352797272297,0.7516669910953859,0.7830637521517259,0.7211948137206631,0.7666860542680077,0.7613693781926024,0.023366190553252772
22.804420948028564,1.5204400981499795,0.13958215713500977,0.02606608024263809,0.1,1.4000000000000001,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.4000000000000001, 'SVM__n_iter': 1034}",0.7969040247678019,0.8113852459331541,0.7379840132876572,0.7360116266998856,0.688253342099496,0.7542519888463718,0.04475797417860422,165,0.7900233934223201,0.762957568540338,0.7830637521517259,0.7211948137206631,0.773914774216026,0.7662308604102146,0.024279346547951285
21.052908897399902,3.034877963947262,0.1124002456665039,0.01804211247137933,0.1,1.6,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.6, 'SVM__n_iter': 1034}",0.8082750449107517,0.8052124064269813,0.7399563998754283,0.7535554863490085,0.7004825524419137,0.7616360027469108,0.040826748029159594,163,0.8091448404507439,0.7733235623036728,0.7889853014706164,0.7256392581651075,0.7772498975432455,0.7748685719866772,0.02758886636602896
21.96925268173218,1.231206345282911,0.1211784839630127,0.015140157038729311,0.1,1.8,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.8, 'SVM__n_iter': 1034}",0.8258189045598745,0.7948391140024068,0.7399563998754283,0.806187065296377,0.7146841493721029,0.776440011428878,0.041934121461922894,159,0.8164833417427335,0.7732502795812197,0.8087325524143223,0.7794649597899228,0.7802752511510189,0.7916412769358434,0.01746377912382135
20.823091506958008,1.9480728367483329,0.12953824996948243,0.0248347755989773,0.1,2.0,1034,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 2.0, 'SVM__n_iter': 1034}",0.8317012575010512,0.7987838871779491,0.7849060521125301,0.8081594518841483,0.7083948411960023,0.7865555997717584,0.04178842567924901,158,0.836590982065043,0.7958183046500177,0.8309416448154383,0.8188260260535347,0.8041084438762535,0.8172570802920575,0.015466327265315511
22.176386404037476,2.5455078973158223,0.11840176582336426,0.025799539282394528,0.03162277660168379,0.2,1034,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 1034}",0.9281657302297137,0.880234225713308,0.8347732139904881,0.923978530591216,0.7731796773886759,0.8682729527133959,0.0582278139772085,137,0.9570137455468405,0.9683081233134476,0.9414347383005279,0.9694525551624243,0.943481063016423,0.9559380450679328,0.011851921864707722
