mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.03804774284362793,0.02963276416911713,0.0011959552764892578,0.00038367511304950437,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9076864273974697,0.9498752359751009,0.9434467167260692,0.9459304627995585,0.8499022076670842,0.9194734625714324,0.03780086948266739,21,0.9894251028240295,0.9873845320020305,0.9842837568082321,0.9886492696537009,0.9808014757611794,0.9861088274098344,0.0031804973147946804
0.05623469352722168,0.024038576949514834,0.0037822723388671875,0.00454889960331965,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.9249398004815962,0.9323313763259781,0.9795090948937103,0.975820001461027,0.8869392447041214,0.9399831469270059,0.03443158089789396,12,0.9799720196321271,0.982940087557586,0.989992938904347,0.9855484944599026,0.98518744067346,0.9847281962454846,0.003299086495575309
0.05771703720092773,0.04935847458798224,0.0017818450927734376,0.001667158157609102,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9190574475404197,0.9735919351303965,0.9414743301382978,0.9459304627995585,0.8684207261856028,0.9297875452683078,0.035132531668246224,16,0.9944337415714876,0.9868320108092016,0.9869654464330017,0.9928869957518921,0.9885886690027766,0.9899413727136718,0.0031372647018825337
0.045584917068481445,0.018691569180631973,0.000984048843383789,3.0376660318478907e-05,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.9405228758169936,0.9735919351303965,0.9795090948937103,0.9407322821627815,0.90545776322264,0.9480269508239785,0.0266628838942521,9,0.9913329663776891,0.9863396425177194,0.9928869957518921,0.9842048252092566,0.9929746339150574,0.9895478127543228,0.003603328794092829
0.06116790771484375,0.0489600395670634,0.0010242462158203125,8.892175619673289e-05,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9190574475404197,0.9735919351303965,0.9414743301382978,0.9459304627995585,0.8684207261856028,0.9297875452683078,0.035132531668246224,16,0.9944337415714876,0.9868320108092016,0.9869654464330017,0.9928869957518921,0.9885886690027766,0.9899413727136718,0.0031372647018825337
0.02619795799255371,0.003655529578906192,0.0012266159057617188,0.00045433414771606917,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.9405228758169936,0.9735919351303965,0.9795090948937103,0.9407322821627815,0.90545776322264,0.9480269508239785,0.0266628838942521,9,0.9913329663776891,0.9863396425177194,0.9928869957518921,0.9842048252092566,0.9929746339150574,0.9895478127543228,0.003603328794092829
0.0300140380859375,0.009203803517652126,0.001199483871459961,0.0004400596545323941,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9076864273974697,0.9498752359751009,0.9414743301382978,0.9459304627995585,0.8499022076670842,0.9190786589699099,0.037557943433172675,24,0.9894251028240295,0.9873845320020305,0.9863997954190665,0.9886492696537009,0.9808014757611794,0.9865320351320014,0.0030474931221623996
0.027639055252075197,0.009240019940127736,0.0009816646575927734,9.867978803125155e-05,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.9249398004815962,0.9323313763259781,0.9795090948937103,0.9407322821627815,0.8869392447041214,0.932959798647291,0.02965215327355956,15,0.9883678118740731,0.982940087557586,0.989992938904347,0.9842048252092566,0.98518744067346,0.9861386208437445,0.0026343873981233383
0.028131914138793946,0.009044881288825187,0.000986194610595703,0.0005948978152099182,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9190574475404197,0.9735919351303965,0.9414743301382978,0.9459304627995585,0.8684207261856028,0.9297875452683078,0.035132531668246224,16,0.9944337415714876,0.9868320108092016,0.9869654464330017,0.9928869957518921,0.9885886690027766,0.9899413727136718,0.0031372647018825337
0.027570056915283202,0.0062027146847547805,0.0008007049560546875,0.0007491183781414166,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.9405228758169936,0.9735919351303965,0.9795090948937103,0.9407322821627815,0.90545776322264,0.9480269508239785,0.0266628838942521,9,0.9913329663776891,0.9863396425177194,0.9928869957518921,0.9842048252092566,0.9929746339150574,0.9895478127543228,0.003603328794092829
0.03758859634399414,0.01944898080985992,0.000800323486328125,0.0004001622261375371,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9076864273974697,0.9498752359751009,0.9434467167260692,0.9459304627995585,0.8499022076670842,0.9194734625714324,0.03780086948266739,21,0.9894251028240295,0.9873845320020305,0.9842837568082321,0.9886492696537009,0.9808014757611794,0.9861088274098344,0.0031804973147946804
