,test,train
0.1,0.002985400000000027,0.6160881999999992
0.2,0.0057120000000008275,0.5803340000000006
0.3,0.008263799999999932,0.46348509999999976
0.4,0.010932499999999123,0.40450560000000024
0.5,0.013749999999999929,0.33242940000000054
0.6,0.016731200000000612,0.26829630000000115
0.7,0.019460000000000477,0.19834389999999935
0.8,0.021314900000000137,0.12044670000000046
0.9,0.02506659999999883,0.04790919999999943
