param_SVM__n_iter,train acc,test acc
1,0.7406089154882954,0.704956999522217
4,0.8520100421547864,0.8101170568561873
7,0.8638816385000045,0.8400382226469183
10,0.8839996367481933,0.8565137760789935
13,0.8647619382413338,0.8559802516324255
16,0.8979906902077273,0.9036152253543558
19,0.8910859764296449,0.8648471094123268
22,0.9319840286383037,0.9115265169612996
25,0.8887219102357915,0.851783723522854
28,0.9016905856263603,0.874872591176939
31,0.934182580904087,0.9158942506768595
34,0.9020098956822835,0.8999721293199555
37,0.9274785344547268,0.9123825449912407
40,0.9305163741610788,0.9036470775601211
43,0.9031069747276345,0.8512103838190795
46,0.9290033132080115,0.9187928014014971
49,0.9210483915854477,0.913397834050008
52,0.9159716546412743,0.8915870361522535
55,0.9315328933299352,0.9165392578436058
58,0.9357073596573716,0.939022933588151
61,0.9183532975354537,0.9037466157031375
64,0.9399213735605415,0.9391224717311675
67,0.9413319037617068,0.9347547380156077
70,0.9105697487410689,0.8979893295110688
73,0.9120432621184027,0.8899585921325053
