mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__alpha,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.7520045280456543,0.009396553039550781,0.7908568639811914,0.7908048407436199,0.1,55,"{'SVM__alpha': 0.1, 'SVM__n_iter': 55}",7,0.7920571089038461,0.7903215457159732,0.7957253581279613,0.7887390819335935,0.7889167296900301,0.7938756047978898,0.781480516335534,0.7924187984877028,0.7961048524351753,0.7886691727829402,0.033665404583163284,0.00355019522355629,0.0053731155539736685,0.0020540916561781843
0.7425982475280761,0.009401941299438476,0.8048737913926146,0.8077524907995178,0.03162277660168379,55,"{'SVM__alpha': 0.03162277660168379, 'SVM__n_iter': 55}",5,0.8061709214673628,0.8057690296030838,0.8128196889724638,0.8059228214072665,0.8013535155458507,0.8093223894443822,0.7909575476167915,0.8111377710013553,0.8130678255462875,0.8066104425415014,0.07620616126257213,0.00272778911664701,0.00822178522596163,0.002121828759652345
0.6947996139526367,0.007199430465698242,0.8110331160687699,0.8130223896722513,0.01,55,"{'SVM__alpha': 0.01, 'SVM__n_iter': 55}",3,0.8119715708053674,0.8115117200460374,0.8185763930005383,0.8107105301458096,0.8047328309358139,0.815299021119074,0.7989929140739338,0.8151892404085884,0.8208935562569488,0.8124014366417462,0.13584975790361478,0.0011661143089058015,0.00824184821281671,0.0018915968235268623
0.6244010925292969,0.006199550628662109,0.8121892060190631,0.8148094103982816,0.0031622776601683794,55,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 55}",2,0.8161830840555363,0.8141045947479431,0.8167329267208009,0.8117886851416899,0.8076441419322988,0.8155917972790557,0.7999826273729429,0.817047860451131,0.8204041763927896,0.8155141143715886,0.0445532600252033,0.0009792881628807077,0.0073988391293116716,0.0017743134862293491
0.7697988033294678,0.010401535034179687,0.812818346569135,0.814540057610869,0.001,55,"{'SVM__alpha': 0.001, 'SVM__n_iter': 55}",1,0.819050449742091,0.8147413808393134,0.8172322454369242,0.8136436142006853,0.8074337570503275,0.8152422839126847,0.7976267938553545,0.81471968901077,0.8227495112787898,0.8143533200908917,0.12494219114830196,0.00449993847706661,0.009128939415850768,0.000529981499702103
0.6297993183135986,0.010200262069702148,0.8102551834819158,0.8120236789380213,0.00031622776601683794,55,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 55}",4,0.8210823282488346,0.8124491878295543,0.8131998027460818,0.8151136071862325,0.8088531642465169,0.8152849129113088,0.7915708539962307,0.8070641660579463,0.8165684394117431,0.8102065207050652,0.13003753846554952,0.005491872549140385,0.010166600494664328,0.003106869597380033
0.7346029281616211,0.01919717788696289,0.8019462578625218,0.8024430429702042,0.0001,55,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 55}",6,0.8149048544568174,0.803509552827892,0.8138468776988868,0.8104401625910482,0.7963850640680514,0.8098958407884723,0.7813391663244788,0.7858341962298913,0.8032513792213131,0.8025354624137165,0.11771256862596151,0.011174081605116697,0.0123841789951794,0.008905031074885241
0.6636003017425537,0.009999227523803712,0.784465332055887,0.7860675906262466,3.1622776601683795e-05,55,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 55}",8,0.8061236868378269,0.7950298042675791,0.8010898436862693,0.7990115189115303,0.7903081118831802,0.802580994192486,0.7472888172926078,0.7552985078641531,0.7775049925967299,0.7784171278954847,0.1044485795574959,0.0037418962613973436,0.02102428513355238,0.017468972975903753
0.7256032943725585,0.006595754623413086,0.7812364362567534,0.7801701399818022,1e-05,55,"{'SVM__alpha': 1e-05, 'SVM__n_iter': 55}",9,0.8009574814653418,0.789743989418137,0.7989321815978093,0.7958603046892458,0.7948179006351807,0.7982202417753591,0.7369244659233288,0.7369778516151777,0.7745374932158647,0.7800483124110914,0.08133753271553489,0.0011956202258343507,0.02406188836346674,0.022491041117016858
0.6790004253387452,0.007800626754760742,0.7614119476831757,0.763613931679481,3.162277660168379e-06,55,"{'SVM__alpha': 3.162277660168379e-06, 'SVM__n_iter': 55}",17,0.7913600362930368,0.7849593820173939,0.7877741516318446,0.7823573842820121,0.7689368761147504,0.7796949721572258,0.7198303273424094,0.7227276580670177,0.7391394554776296,0.7483302618737554,0.08896701578957011,0.0013268054668976379,0.02783338398502931,0.024375492040499068
0.6697995662689209,0.00839982032775879,0.7660406189510892,0.7694200176273815,1e-06,55,"{'SVM__alpha': 1e-06, 'SVM__n_iter': 55}",16,0.7879999305295698,0.78071189012768,0.784715610689815,0.7828841921636944,0.7784837973379141,0.7872312641437869,0.7185281699779948,0.723864072310537,0.7604627175533906,0.7724086693912094,0.1172759938324464,0.0024967759299371938,0.025590104617574574,0.023282212420868514
0.6865987777709961,0.007200860977172851,0.7704786982254714,0.7701334384077881,3.162277660168379e-07,55,"{'SVM__alpha': 3.162277660168379e-07, 'SVM__n_iter': 55}",13,0.7910211048008803,0.7847262305162361,0.7905124444170772,0.7837227215129291,0.7812506414173231,0.7870073261660677,0.7332999041873296,0.7284877589004309,0.7562950189955792,0.7667231549432766,0.056750416321641135,0.0014681350376018764,0.022462218334366943,0.022037871675136423
