mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.9956000804901123,0.021001672744750975,0.7857142857142857,1.0,100,{'SVM__n_iter': 100},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.010593193157148743,0.001266418329522864,0.020337093981672244,0.0
1.3491913318634032,0.019598007202148438,0.7857142857142857,1.0,200,{'SVM__n_iter': 200},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.007361280358811065,0.0013551247774691005,0.020337093981672244,0.0
1.711996841430664,0.02000265121459961,0.7857142857142857,1.0,300,{'SVM__n_iter': 300},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.012083270192557054,0.0010979368982672012,0.020337093981672244,0.0
2.0708016395568847,0.01939425468444824,0.7857142857142857,1.0,400,{'SVM__n_iter': 400},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.0037114072765504023,0.0004943130646842712,0.020337093981672244,0.0
2.421598434448242,0.02020292282104492,0.7857142857142857,1.0,500,{'SVM__n_iter': 500},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.013631484836135153,0.0017194712710754425,0.020337093981672244,0.0
2.7933985710144045,0.019398927688598633,0.7857142857142857,1.0,600,{'SVM__n_iter': 600},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.010308204936872779,0.0008023518547220405,0.020337093981672244,0.0
3.1570024490356445,0.01880197525024414,0.7857142857142857,1.0,700,{'SVM__n_iter': 700},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.011151337757123972,0.0003944041000421784,0.020337093981672244,0.0
3.519597387313843,0.02020130157470703,0.7857142857142857,1.0,800,{'SVM__n_iter': 800},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.006154097825262502,0.002396904317283263,0.020337093981672244,0.0
3.8803995132446287,0.02079920768737793,0.7857142857142857,1.0,900,{'SVM__n_iter': 900},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.008730563175670572,0.001938882352729883,0.020337093981672244,0.0
4.238201332092285,0.019995498657226562,0.7857142857142857,1.0,1000,{'SVM__n_iter': 1000},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.007024820992945628,0.0006312915084309539,0.020337093981672244,0.0
4.587201452255249,0.020998382568359376,0.7857142857142857,1.0,1100,{'SVM__n_iter': 1100},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.01738179720382537,0.0035214925134823072,0.020337093981672244,0.0
4.942994213104248,0.020000219345092773,0.7857142857142857,1.0,1200,{'SVM__n_iter': 1200},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.013536816529523958,0.0006332404103620331,0.020337093981672244,0.0
5.3143988132476805,0.01859903335571289,0.7857142857142857,1.0,1300,{'SVM__n_iter': 1300},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.011393695737372034,0.0004884247224473165,0.020337093981672244,0.0
5.658397674560547,0.01939878463745117,0.7857142857142857,1.0,1400,{'SVM__n_iter': 1400},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.010634173484286403,0.0008002642204116148,0.020337093981672244,0.0
6.040002059936524,0.020199012756347657,0.7857142857142857,1.0,1500,{'SVM__n_iter': 1500},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.010293471686072147,0.0009806554952220214,0.020337093981672244,0.0
6.394795560836792,0.019599199295043945,0.7857142857142857,1.0,1600,{'SVM__n_iter': 1600},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.012604762925273615,0.0004919328391536363,0.020337093981672244,0.0
6.773592901229859,0.019597625732421874,0.7857142857142857,1.0,1700,{'SVM__n_iter': 1700},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.01075170678724713,0.001019825840285281,0.020337093981672244,0.0
7.1200000762939455,0.018999242782592775,0.7857142857142857,1.0,1800,{'SVM__n_iter': 1800},1,0.8104395604395604,1.0,0.7912087912087912,1.0,0.7802197802197802,1.0,0.75,1.0,0.7967032967032966,1.0,0.012030243880943632,0.001417566206896984,0.020337093981672244,0.0
